kinase_gene,substrate_gene
PAK2,PRL
EIF2AK1,EIF2S1
PRKCD,HDAC5
PRKCD,PTPRA
PRKCD,BCL2
PRKCD,HNRNPK
PRKCD,SLC9A1
PRKCD,SHOC2
PRKCD,BLVRA
PRKCD,MUC1
PRKCD,ADD1
PRKCD,NCF1
PRKCD,FBXO25
PRKCD,ENOX2
PRKCD,MARK2
PRKCD,TNNI3
PRKCD,FOSL1
PRKCD,BEST1
PRKCD,RPS6KB2
PRKCD,NCF4
PRKCD,CARD9
PRKCD,ITGB2
PRKCD,PRKCD
PRKCD,TRPV4
PRKCD,LCP1
PRKCD,SQSTM1
PRKCD,KRT8
PRKCD,GAPDH
PRKCD,NRG1
PRKCD,DAP3
PRKCD,STAT1
PRKCD,RPS6
PRKCD,SLC29A1
PRKCD,TIRAP
PRKCD,CTTN
PRKCD,DAB2
PRKCD,PTPN22
PRKCD,PRKD1
PRKCD,FGF1
PRKCD,SMPD1
PRKCD,H3C1
PRKCD,CHAT
PRKCD,CYBA
PRKCD,TP53
PRKCD,PGR
PRKCD,PREX1
PRKCD,ADAM17
PRKCD,CDH1
PRKCD,IRS1
PRKCD,C5AR1
PRKCD,PLSCR3
PRKCD,NADK
PRKCD,PPP1R14A
PRKCD,G6PD
PRKCD,CDK5
PRKCD,LIMK2
PRKCD,NR2F6
PRKCD,HVCN1
PRKCD,IL6ST
PRKCD,RPS3
PRKCD,PLD2
PRKCD,BAG3
PRKCD,MCU
PRKCD,SHC1
PRKCD,EGFR
PRKCD,ELAVL1
PRKCD,HAX1
PRKCD,CTNNB1
PRKCD,GSK3A
PRKCD,CXCR4
PRKCD,PPP1R14B
PRKCD,TSC2
PRKCD,FCER1G
PRKCD,TBL1XR1
PRKCD,GSK3B
PRKCD,STAT3
PRKCD,DNM1L
PRKCD,EP300
PRKCD,LMNA
PRKCD,FLI1
PRKCD,MET
PRKCD,TACSTD2
PRKCD,PA2G4
PRKCD,CAT
PRKCD,TP73
PRKCD,SRC
PRKCD,CHN2
PRKCD,PEBP1
PRKCD,RASGRP3
PIM2,PKM
PIM2,STAT5B
PIM2,HK2
PIM2,MYC
PIM2,PFKFB3
PIM2,CDKN1A
PIM2,HSF1
PIM2,PRKAA1
PIM2,PSMD2
PIM2,IRS1
PIM2,FBP1
CAMK2A,AKAP5
CAMK2A,SCN5A
CAMK2A,HRH1
CAMK2A,ETS2
CAMK2A,ITPKA
CAMK2A,NCOR2
CAMK2A,KCNJ11
CAMK2A,NOX5
CAMK2A,SCN8A
CAMK2A,ITGB1
CAMK2A,TH
CAMK2A,TCAP
CAMK2A,SLN
CAMK2A,CAMK2A
CAMK2A,CHAT
CAMK2A,ETS1
CAMK2A,SPR
CAMK2A,SLC1A3
CAMK2A,PTTG1
CAMK2A,SMAD2
CAMK2A,CDKN1B
CAMK2A,SRF
CAMK2A,CYLD
CAMK2A,RYR2
CAMK2A,HDAC5
CAMK2A,VIM
CAMK2A,ITGB1BP1
CAMK2A,SLC6A4
CAMK2A,NR1I2
CAMK2A,FLNA
CAMK2A,BECN1
CAMK2A,PPP1R14A
CAMK2A,KCNQ2
CAMK2A,GFPT1
CAMK2A,CTNNB1
CAMK2A,DLGAP1
CAMK2A,ALOX5
CAMK2A,ID1
CAMK2A,CLCN3
CAMK2A,IL6ST
CAMK2A,HSF1
CAMK2A,KCND1
CAMK2A,FBXO43
CAMK2A,RRAD
CAMK2A,RCHY1
CAMK2A,STMN1
CAMK2A,GRIN2A
CAMK2A,OPRM1
CAMK2A,KIF3A
CAMK2A,DAGLA
CAMK2A,CARD11
CAMK2A,PLCB3
CAMK2A,PPP2R2B
CAMK2A,CD44
CAMK2A,ESPL1
CAMK2A,CACNA1H
CAMK2A,DLG4
CAMK2A,GRIN2B
CAMK2A,GRIA1
CAMK2A,GLO1
CAMK2A,SNCA
CAMK2A,MAPT
CAMK2A,SPTBN4
CAMK2A,PLN
CSNK2A1,DDX58
CSNK2A1,PAK1
CSNK2A1,DDIT3
CSNK2A1,MME
CSNK2A1,PTEN
CSNK2A1,RPS6KA5
CSNK2A1,PPP1R2
CSNK2A1,CAV2
CSNK2A1,SPTBN1
CSNK2A1,YWHAQ
CSNK2A1,FAF1
CSNK2A1,MYH10
CSNK2A1,ZC3H8
CSNK2A1,CDC27
CSNK2A1,OCLN
CSNK2A1,TARDBP
CSNK2A1,L1CAM
CSNK2A1,XRCC1
CSNK2A1,GRB14
CSNK2A1,CBX1
CSNK2A1,MAPRE2
CSNK2A1,SQSTM1
CSNK2A1,ESR1
CSNK2A1,TCOF1
CSNK2A1,ECE1
CSNK2A1,VTN
CSNK2A1,RNPS1
CSNK2A1,CTNNA1
CSNK2A1,NCOR2
CSNK2A1,YY1
CSNK2A1,WAS
CSNK2A1,NOL3
CSNK2A1,DNAJB2
CSNK2A1,STAT1
CSNK2A1,CERS5
CSNK2A1,EIF5
CSNK2A1,SLITRK1
CSNK2A1,HMGN1
CSNK2A1,PACS1
CSNK2A1,PLD1
CSNK2A1,MRE11
CSNK2A1,NR3C2
CSNK2A1,MAPK9
CSNK2A1,JUN
CSNK2A1,NCF1
CSNK2A1,ATF1
CSNK2A1,OTUB1
CSNK2A1,MRTO4
CSNK2A1,FANCD2
CSNK2A1,TLE1
CSNK2A1,BMI1
CSNK2A1,CDH1
CSNK2A1,AIP
CSNK2A1,WASF2
CSNK2A1,CASQ2
CSNK2A1,HMGA1
CSNK2A1,TINF2
CSNK2A1,NCAPH
CSNK2A1,HOXB7
CSNK2A1,SLC3A2
CSNK2A1,GMFB
CSNK2A1,FMR1
CSNK2A1,CERS4
CSNK2A1,MDC1
CSNK2A1,RRAD
CSNK2A1,CD5
CSNK2A1,APOE
CSNK2A1,CFTR
CSNK2A1,DTD1
CSNK2A1,GBF1
CSNK2A1,HSPA1B
CSNK2A1,PDCL
CSNK2A1,CERS6
CSNK2A1,CALM3
CSNK2A1,HHEX
CSNK2A1,SSRP1
CSNK2A1,IL16
CSNK2A1,DAXX
CSNK2A1,SLC9A5
CSNK2A1,PSEN2
CSNK2A1,ATF4
CSNK2A1,SHOX
CSNK2A1,IP6K2
CSNK2A1,NFKBIA
CSNK2A1,PTPRCAP
CSNK2A1,ARRB2
CSNK2A1,TOP1
CSNK2A1,SRPK1
CSNK2A1,PIAS1
CSNK2A1,MYH2
CSNK2A1,SIRT1
CSNK2A1,PHF8
CSNK2A1,SAT1
CSNK2A1,TOP2A
CSNK2A1,IGFBP1
CSNK2A1,ATXN3
CSNK2A1,IGFBP3
CSNK2A1,SMC3
CSNK2A1,SSB
CSNK2A1,MYB
CSNK2A1,BIK
CSNK2A1,CSNK2B
CSNK2A1,CTDP1
CSNK2A1,CREB1
CSNK2A1,MYH9
CSNK2A1,TELO2
CSNK2A1,RRN3
CSNK2A1,FUNDC1
CSNK2A1,PAWR
CSNK2A1,MDM2
CSNK2A1,STARD10
CSNK2A1,TERF1
