term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
lamellipodium assembly,6,1887,6,128,0.06485911749069644,3.94319748761912e-05
cell projection assembly,19,1887,8,128,0.15256959314775162,0.00016966705917325175
vesicle fusion,4,1887,4,128,0.06585236325013277,0.0008911423010674417
neurological system process,36,1887,9,128,0.25715829281469477,0.0015917584946522321
cellular membrane fusion,6,1887,4,128,0.09888357256778309,0.0024182135493956906
organelle fusion,6,1887,4,128,0.09888357256778309,0.0024182135493956906
cellular component assembly at cellular level,174,1887,23,128,0.46371735323231555,0.0030036485811493017
membrane fusion,7,1887,4,128,0.11542553191489362,0.0036146492173349245
cell junction assembly,21,1887,6,128,0.22883172561629153,0.0057150669529592735
nucleobase-containing compound transport,78,1887,0,128,inf,0.008401978154390689
organ morphogenesis,48,1887,9,128,0.3451150987855719,0.008426399652987861
system process,72,1887,12,128,0.3834710743801653,0.009208937957203409
