term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
integral to plasma membrane,2,10,47,2005,10.414893617021276,0.02302090769809125
intrinsic to plasma membrane,2,10,64,2005,7.58203125,0.040135317304406865
transcription elongation factor complex,1,10,9,2005,24.641975308641975,0.048640326800196566
membrane,1,10,878,2005,0.14262212098202987,0.050019203553321366
integral to membrane,3,10,177,2005,4.426150121065375,0.05259112715041536
integral to endoplasmic reticulum membrane,1,10,10,2005,22.166666666666668,0.05338526282613076
intrinsic to endoplasmic reticulum membrane,1,10,11,2005,20.141414141414142,0.0581088892591341
intrinsic to membrane,3,10,194,2005,4.000736377025037,0.0659310975812585
intracellular part,7,10,1807,2005,0.25567238516878804,0.06929307007962676
cytosol,0,10,573,2005,0.0,0.07135792771176905
integral to organelle membrane,1,10,16,2005,13.8125,0.08141034600796382
intrinsic to organelle membrane,1,10,17,2005,12.993464052287582,0.08600789182373976
