term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
actin filament bundle,8,1887,5,128,0.10473656200106439,0.000814661310797107
stress fiber,8,1887,5,128,0.10473656200106439,0.000814661310797107
actomyosin,9,1887,5,128,0.11789137380191693,0.0012032388756617004
cell projection,139,1887,19,128,0.4561905335420932,0.005585409327430705
intracellular membrane-bounded organelle,1067,1887,57,128,1.6208172871202395,0.009818415409464466
membrane-bounded organelle,1177,1887,66,128,1.5572769953051644,0.018541719440092537
Cajal body,30,1887,6,128,0.32848680667743674,0.023503166457892456
histone acetyltransferase complex,17,1887,4,128,0.2818181818181818,0.03998321045822446
nucleus,820,1887,44,128,1.467155150379143,0.05229100956779744
nuclear body,111,1887,13,128,0.5528846153846154,0.05758574548706079
nucleolus,205,1887,21,128,0.6210010758167714,0.059945629243571094
spliceosomal complex,59,1887,8,128,0.4841356673960613,0.06968615626333727
