term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
G-protein coupled receptor activity,2,10,12,2005,41.520833333333336,0.0019548815482182723
p53 binding,2,10,18,2005,27.59722222222222,0.004017130601599629
transmembrane signaling receptor activity,2,10,22,2005,22.53409090909091,0.00577377094009295
signaling receptor activity,2,10,28,2005,17.651785714285715,0.008956140017473916
receptor activity,2,10,46,2005,10.646739130434783,0.022140016318986155
telomeric DNA binding,1,10,8,2005,27.73611111111111,0.04387399577214146
damaged DNA binding,1,10,9,2005,24.641975308641975,0.048640326800196566
beta-catenin binding,1,10,10,2005,22.166666666666668,0.05338526282613076
methylated histone residue binding,1,10,10,2005,22.166666666666668,0.05338526282613076
RNA polymerase II activating transcription factor binding,1,10,11,2005,20.141414141414142,0.0581088892591341
catalytic activity,0,10,556,2005,0.0,0.07081361418668801
protein phosphatase regulator activity,1,10,15,2005,14.74074074074074,0.07679199681745581
