term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
SNARE binding,6,1887,4,128,0.09888357256778309,0.0024182135493956906
Rho guanyl-nucleotide exchange factor activity,26,1887,6,128,0.2840766612932115,0.013466854033833407
protein binding,709,1887,62,128,0.640697738101758,0.018487068929264522
Ras guanyl-nucleotide exchange factor activity,38,1887,7,128,0.3552499420536197,0.02115213216691676
nuclease activity,7,1887,3,128,0.1551418439716312,0.02160904166314098
damaged DNA binding,7,1887,3,128,0.1551418439716312,0.02160904166314098
small GTPase regulator activity,50,1887,8,128,0.40827436037016873,0.02761496294913175
C2H2 zinc finger domain binding,23,1887,5,128,0.30354077253218886,0.028810642010998665
single-stranded RNA binding,10,1887,3,128,0.22198543775528326,0.04479042053617664
G-protein coupled receptor activity,11,1887,3,128,0.2443141435678749,0.054430807029641155
protein N-terminus binding,38,1887,6,128,0.417883540652605,0.05633607563501288
transmembrane signaling receptor activity,20,1887,4,128,0.3320835565077665,0.06133479958175818
