term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
Pathogenic Escherichia coli infection,8,1887,2,128,0.2682277807344332,0.12898629420433488
Cell adhesion molecules (CAMs),9,1887,2,128,0.3019169329073482,0.1513483731763386
Epithelial cell signaling in Helicobacter pylori infection,10,1887,2,128,0.33564198188598826,0.17440006117053283
ko05152,24,1887,3,128,0.5367686527106817,0.24350695675014564
Insulin signaling pathway,52,1887,1,128,3.598910081743869,0.2539660424034408
Osteoclast differentiation,29,1887,0,128,inf,0.2547481802599778
Regulation of actin cytoskeleton,56,1887,6,128,0.6218823957764428,0.2826818653312797
Axon guidance,33,1887,4,128,0.551779935275081,0.29121564755468365
Spliceosome,35,1887,4,128,0.5858531317494601,0.30795499160737777
Colorectal cancer,17,1887,2,128,0.5727272727272728,0.34251729837572625
Natural killer cell mediated cytotoxicity,46,1887,1,128,3.1732753938077134,0.3625886058096067
Oocyte meiosis,22,1887,0,128,inf,0.39420881044915035
