layer,term,p_fisher,neglog10
GOBP,macromolecule modification,0.0013248413823085381,2.8778361148681033
GOBP,regulation of transcription. DNA-dependent,0.004721036426778825,2.325962648607507
GOBP,regulation of cellular component organization,0.00615275030475754,2.2109307093986197
GOBP,regulation of RNA metabolic process,0.006311245797942281,2.19988490545171
GOBP,chromatin modification,0.006713776737160559,2.1730331050646776
GOBP,regulation of cellular macromolecule biosynthetic process,0.0082859427815492,2.0816580700412546
GOBP,regulation of macromolecule biosynthetic process,0.008846544344635941,2.053226341181852
GOBP,DNA catabolic process. exonucleolytic,0.008910839905406235,2.0500813589157745
GOBP,positive regulation of interleukin-17 production,0.008910839905406235,2.0500813589157745
GOMF,ribonuclease activity,0.011866374180042199,1.9256819612602007
GOMF,3'-5' exonuclease activity,0.011866374180042199,1.9256819612602007
GOCC,Set1C/COMPASS complex,0.011866374180042199,1.9256819612602007
GOMF,histone deacetylase regulator activity,0.014814560035298163,1.8293112417255761
GOMF,exonuclease activity,0.014814560035298163,1.8293112417255761
GOCC,site of double-strand break,0.014814560035298163,1.8293112417255761
GOMF,cyclin binding,0.014814560035298163,1.8293112417255761
GOCC,nuclear cyclin-dependent protein kinase holoenzyme complex,0.014814560035298163,1.8293112417255761
GOMF,nucleotide binding,0.01695977245311651,1.7705799789082444
GOMF,cyclin-dependent protein kinase activity,0.017755412094894285,1.750669243471536
GOMF,RNA polymerase II carboxy-terminal domain kinase activity,0.02068894496071342,1.6842616557539427
GOCC,MLL1 complex,0.02068894496071342,1.6842616557539427
GOCC,replication fork,0.02068894496071342,1.6842616557539427
GOCC,nuclear chromosome part,0.02104814067311466,1.676786262349506
GOCC,cyclin-dependent protein kinase holoenzyme complex,0.023615173212822835,1.6268088646078287
KEGG,RNA degradation,0.023615173212822835,1.6268088646078287
GOMF,nuclease activity,0.029445774087234304,1.5309770242142238
GOCC,nucleoplasm part,0.03151135426947642,1.501532931668213
GOCC,chromatin,0.03391969717743099,1.4695480336192674
KEGG,Tight junction,0.0834041913802763,1.0788121238516326
KEGG,Vascular smooth muscle contraction,0.0834041913802763,1.0788121238516326
