layer,term,p_fisher,neglog10
GOBP,lamellipodium assembly,3.94319748761912e-05,4.404151471560955
GOBP,cell projection assembly,0.00016966705917325175,3.770402467687932
GOMF,syntaxin binding,0.00046856117754843124,3.329233697546463
GOCC,stress fiber,0.000814661310797107,3.089022908344205
GOCC,actin filament bundle,0.000814661310797107,3.089022908344205
GOBP,vesicle fusion,0.0008911423010674417,3.050052940594081
GOCC,actomyosin,0.0012032388756617004,2.9196481448270606
GOBP,neurological system process,0.0015917584946522321,2.798122823781855
GOBP,artery morphogenesis,0.002279403706041048,2.642178749949559
GOMF,SNARE binding,0.0024182135493956906,2.616505349782518
GOBP,cellular membrane fusion,0.0024182135493956906,2.616505349782518
GOBP,organelle fusion,0.0024182135493956906,2.616505349782518
GOBP,cellular component assembly at cellular level,0.0030036485811493017,2.522350879988565
GOBP,membrane fusion,0.0036146492173349245,2.4419338423162253
GOCC,SNARE complex,0.004347614416525222,2.3617489798113493
GOMF,SNAP receptor activity,0.004347614416525222,2.3617489798113493
GOCC,small nuclear ribonucleoprotein complex,0.004347614416525222,2.3617489798113493
KEGG,SNARE interactions in vesicular transport,0.004347614416525222,2.3617489798113493
GOCC,cell projection,0.005585409327430705,2.252944994055912
GOMF,actin monomer binding,0.00725690434575782,2.1392486013753045
GOCC,intracellular membrane-bounded organelle,0.009818415409464466,2.007958597188116
GOMF,Rho guanyl-nucleotide exchange factor activity,0.013466854033833407,1.8707338471367412
GOMF,protein binding,0.018487068929264522,1.733131939503468
GOCC,membrane-bounded organelle,0.018541719440092537,1.7318499946403356
GOMF,Ras guanyl-nucleotide exchange factor activity,0.02115213216691676,1.6746458485416875
GOMF,damaged DNA binding,0.02160904166314098,1.6653644931648175
GOMF,nuclease activity,0.02160904166314098,1.6653644931648175
GOCC,Cajal body,0.023503166457892456,1.6288736235771721
KEGG,Pathogenic Escherichia coli infection,0.12898629420433488,0.8894564344112785
KEGG,Cell adhesion molecules (CAMs),0.1513483731763386,0.8200222428563102
