term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
Basal transcription factors,1,19,5,1996,22.122222222222224,0.055325727608281
Pancreatic secretion,1,19,9,1996,12.265432098765432,0.09058471760329041
Salivary secretion,1,19,9,1996,12.265432098765432,0.09058471760329041
Cell adhesion molecules (CAMs),1,19,10,1996,11.033333333333333,0.09920261803497991
RIG-I-like receptor signaling pathway,1,19,10,1996,11.033333333333333,0.09920261803497991
Leishmaniasis,1,19,11,1996,10.025252525252526,0.10774311217536683
NOD-like receptor signaling pathway,1,19,13,1996,8.474358974358974,0.12459450420383542
Measles,1,19,14,1996,7.865079365079365,0.1329067003158429
Toxoplasmosis,1,19,17,1996,6.467320261437909,0.1573969697715261
Adherens junction,1,19,18,1996,6.104938271604938,0.16541372368957355
Calcium signaling pathway,1,19,19,1996,5.780701754385965,0.17335818223160676
Toll-like receptor signaling pathway,1,19,20,1996,5.488888888888889,0.1812309614484486
Wnt signaling pathway,1,19,21,1996,5.224867724867725,0.189032672447686
Osteoclast differentiation,1,19,28,1996,3.9047619047619047,0.24170505137533468
T cell receptor signaling pathway,1,19,59,1996,1.8239171374764596,0.43840360447553894
MAPK signaling pathway,1,19,64,1996,1.6770833333333333,0.4651950321999619
Bladder cancer,0,19,22,1996,0.0,1.0
Bile secretion,0,19,6,1996,0.0,1.0
Cell cycle,0,19,41,1996,0.0,1.0
Cell cycle - yeast,0,19,17,1996,0.0,1.0
Chagas disease (American trypanosomiasis),0,19,14,1996,0.0,1.0
Chemokine signaling pathway,0,19,32,1996,0.0,1.0
Chronic myeloid leukemia,0,19,35,1996,0.0,1.0
Alzheimer's disease,0,19,12,1996,0.0,1.0
Apoptosis,0,19,10,1996,0.0,1.0
