term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
positive regulation of protein serine/threonine kinase activity,4,22,48,1993,9.00462962962963,0.0020463589809812783
regulation of nitrogen compound metabolic process,1,22,656,1993,0.09705284552845528,0.0025277943511836896
regulation of nucleobase-containing compound metabolic process,1,22,654,1993,0.09749526722003786,0.0025595817463925944
positive regulation of protein kinase B signaling cascade,2,22,9,1993,22.044444444444444,0.005898524090388434
regulation of cyclin-dependent protein kinase activity,2,22,9,1993,22.044444444444444,0.005898524090388434
regulation of phosphorus metabolic process,7,22,224,1993,3.685416666666667,0.008910431244652255
regulation of phosphate metabolic process,7,22,224,1993,3.685416666666667,0.008910431244652255
regulation of protein serine/threonine kinase activity,4,22,75,1993,5.6829629629629625,0.009344267347389884
cell cycle checkpoint,3,22,42,1993,7.334586466165414,0.011914859653701267
regulation of protein kinase B signaling cascade,2,22,15,1993,13.186666666666667,0.014018364637661568
regulation of RNA metabolic process,1,22,538,1993,0.1287838555496548,0.014337389212556704
Wnt receptor signaling pathway,2,22,18,1993,10.972222222222221,0.019200837318995106
positive regulation of protein kinase activity,4,22,95,1993,4.439766081871345,0.02025772610151226
regulation of cell cycle arrest,3,22,53,1993,5.779543197616683,0.021533943208737586
DNA damage checkpoint,2,22,20,1993,9.865,0.02303869506907553
positive regulation of kinase activity,4,22,99,1993,4.2514029180695845,0.023113919387355724
regulation of transcription. DNA-dependent,1,22,506,1993,0.139939770374553,0.024021604876732293
positive regulation of transferase activity,4,22,101,1993,4.162816281628163,0.024631370694616066
regulation of canonical Wnt receptor signaling pathway,2,22,23,1993,8.565217391304348,0.029335747073433376
regulation of protein modification process,6,22,220,1993,3.0221590909090907,0.029623138348824123
regulation of phosphatase activity,2,22,24,1993,8.204166666666667,0.03157225157316546
DNA integrity checkpoint,2,22,24,1993,8.204166666666667,0.03157225157316546
RNA metabolic process,2,22,598,1993,0.23327759197324416,0.03398382175412233
regulation of biosynthetic process,2,22,587,1993,0.23952299829642248,0.03494967885713589
regulation of cellular biosynthetic process,2,22,586,1993,0.2401023890784983,0.03506480140577739
