term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
Glycolysis / Gluconeogenesis,1,25,4,1990,20.6875,0.060573055701607516
Ribosome,1,25,5,1990,16.541666666666668,0.07225747043168704
Dorso-ventral axis formation,1,25,8,1990,10.322916666666666,0.1064795833479614
Ribosome biogenesis in eukaryotes,1,25,9,1990,9.171296296296296,0.11761518176087311
Small cell lung cancer,1,25,9,1990,9.171296296296296,0.11761518176087311
MAPK signaling pathway - fly,1,25,10,1990,8.25,0.12861748622769514
Dilated cardiomyopathy,1,25,11,1990,7.496212121212121,0.13948802656916598
Arrhythmogenic right ventricular cardiomyopathy (ARVC),1,25,11,1990,7.496212121212121,0.13948802656916598
Epithelial cell signaling in Helicobacter pylori infection,1,25,11,1990,7.496212121212121,0.13948802656916598
Hypertrophic cardiomyopathy (HCM),1,25,14,1990,5.880952380952381,0.17132411006225767
Regulation of actin cytoskeleton,2,25,60,1990,2.7971014492753623,0.17826405136609771
Bladder cancer,1,25,21,1990,3.9067460317460316,0.24127117347661378
Melanoma,1,25,26,1990,3.1474358974358974,0.2877247760720537
ko05152,1,25,26,1990,3.1474358974358974,0.2877247760720537
Vascular smooth muscle contraction,1,25,28,1990,2.919642857142857,0.30553095343894343
Tight junction,1,25,28,1990,2.919642857142857,0.30553095343894343
Pancreatic cancer,1,25,30,1990,2.7222222222222223,0.32290937098728506
Glioma,1,25,31,1990,2.6330645161290325,0.33144125895367504
mTOR signaling pathway,1,25,31,1990,2.6330645161290325,0.33144125895367504
Non-small cell lung cancer,1,25,31,1990,2.6330645161290325,0.33144125895367504
Prostate cancer,1,25,33,1990,2.470959595959596,0.3481964520590118
Chronic myeloid leukemia,1,25,34,1990,2.3970588235294117,0.35642214044796905
Axon guidance,1,25,36,1990,2.261574074074074,0.37257556006274806
Cell cycle,1,25,40,1990,2.03125,0.40372256820522934
Endocytosis,1,25,41,1990,1.9806910569105691,0.4112742074123564
