term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
amino acid transport,2,19,6,1996,39.01960784313726,0.0022811297841401515
cell communication,4,19,67,1996,7.677611940298507,0.00367504965135649
response to hypoxia,3,19,35,1996,10.505357142857143,0.004869967850918955
amine transport,2,19,10,1996,23.36470588235294,0.005257182490723855
organic acid transport,2,19,10,1996,23.36470588235294,0.005257182490723855
nitrogen compound transport,2,19,10,1996,23.36470588235294,0.005257182490723855
carboxylic acid transport,2,19,10,1996,23.36470588235294,0.005257182490723855
regulation of homeostatic process,3,19,37,1996,9.927364864864865,0.005635784282225999
response to oxygen levels,3,19,37,1996,9.927364864864865,0.005635784282225999
cell-cell signaling,3,19,38,1996,9.661184210526315,0.006044476966792865
signaling,3,19,39,1996,9.408653846153847,0.006470645768025018
meiosis,2,19,16,1996,14.558823529411764,0.011782903910920732
organic substance transport,3,19,56,1996,6.495535714285714,0.016553910251925125
synaptic transmission,2,19,28,1996,8.268907563025211,0.03132211245680961
positive regulation of cell migration,2,19,31,1996,7.4573055028463,0.03738668018137726
regulation of system process,2,19,31,1996,7.4573055028463,0.03738668018137726
positive regulation of cell motility,2,19,34,1996,6.788927335640138,0.043868557382781996
protein kinase B signaling cascade,1,19,4,1996,27.666666666666668,0.046310754642212335
replication fork processing,1,19,4,1996,27.666666666666668,0.046310754642212335
developmental cell growth,1,19,4,1996,27.666666666666668,0.046310754642212335
folic acid-containing compound metabolic process,1,19,4,1996,27.666666666666668,0.046310754642212335
maintenance of fidelity involved in DNA-dependent DNA replication,1,19,4,1996,27.666666666666668,0.046310754642212335
positive regulation of small GTPase mediated signal transduction,1,19,4,1996,27.666666666666668,0.046310754642212335
pteridine-containing compound metabolic process,1,19,4,1996,27.666666666666668,0.046310754642212335
positive regulation of locomotion,2,19,36,1996,6.405228758169935,0.04840900967943483
