geneid,n_sites,αCD3 5min,αCD3+αCD226 5min,αCD3+αICOS 5min,αCD3+αCD2 5min,αCD3 10min,αCD3+αCD226 10min,αCD3+αICOS 10min,αCD3+αCD2 10min
SRRM2,27,-0.292,-0.507,-1.527,-0.906,-0.495,-0.981,-0.025,-0.135
RASAL3,14,-1.822,-1.7685,-1.716,-1.5939999999999999,-1.5525,-1.875,-1.8215,-2.279
MKI67,14,0.779,0.8835,2.207,0.2885,0.3245,1.079,1.1645,1.2245
EMD,9,1.431,1.545,1.902,1.715,1.004,3.04,0.704,0.228
SRRM1,8,-5.6055,-0.679,-0.664,-0.3805,-0.616,-2.0564999999999998,-2.3335,-1.0619999999999998
STIM2,8,4.604,4.867,4.1739999999999995,4.652,3.8075,1.4689999999999999,1.198,2.811
IWS1,7,-1.123,0.19,-1.262,-2.08,-0.545,-0.96,-1.292,0.395
AKAP13,7,1.91,2.363,0.028,2.483,2.828,0.935,2.1,2.416
ATAD2,7,0.473,0.394,0.283,0.225,-0.21,1.206,0.297,0.053
ARHGAP45,6,-3.6310000000000002,-1.5964999999999998,-3.967,-3.2279999999999998,-1.249,-2.9715000000000003,-2.7750000000000004,-1.4180000000000001
NFATC2,6,-1.1995,-1.475,-1.0750000000000002,-2.0115,-0.71,-0.6779999999999999,-0.7715,-1.3845
RBL2,6,0.07950000000000002,-0.2525,-0.1925,-0.8955,-0.53,1.0635000000000001,-0.15250000000000002,0.1345
RANBP2,6,0.6365,0.094,0.681,1.069,1.3425,0.6295,0.9675,2.5650000000000004
CHAMP1,6,-0.07500000000000001,0.055,-0.12150000000000002,-0.48950000000000005,-0.055,1.006,0.5239999999999999,-0.25049999999999994
PRRC2A,6,3.216,4.4885,3.7504999999999997,4.7615,1.4715,1.5955,2.4055,2.748
CNK3,6,3.008,3.225,3.468,3.084,3.055,2.88,3.771,3.833
ARHGAP35,5,0.288,1.035,0.916,-0.408,0.006,0.771,2.269,0.486
ZC3H13,5,0.284,1.011,0.688,0.943,4.091,2.962,2.995,3.992
TMPO,5,0.052,-3.067,-0.275,0.476,-3.543,-0.911,-1.937,-1.295
STK10,5,-1.084,-1.18,-1.147,-1.262,-1.575,-1.512,-1.474,-2.369
RB1,5,1.046,1.097,0.978,0.614,1.137,1.182,1.553,1.17
RCSD1,5,1.773,1.922,2.182,2.699,0.907,0.84,1.23,1.909
LIMA1,5,2.632,2.989,2.864,1.596,0.915,0.5,1.141,1.066
MAP7D1,5,1.995,1.957,2.19,0.021,0.746,0.471,1.068,1.253
BUD13,5,-0.311,-0.227,-1.173,-2.274,-0.853,-0.264,-0.359,0.016
ANKRD17,5,-1.181,-1.194,-2.968,-1.576,-2.854,-0.601,-1.765,-1.298
AHNAK,5,1.872,1.082,2.257,2.57,1.569,1.796,2.595,1.604
DBNL,5,1.893,0.997,1.252,1.557,0.77,0.14,0.443,0.226
CARD11,5,-2.266,-1.98,-0.261,-1.279,0.004,-1.027,-0.532,-0.615
BOD1L1,5,3.047,4.184,2.565,4.228,1.743,1.467,3.632,3.037
NCOR1,5,-1.927,-4.675,-4.411,-3.156,-4.482,-1.192,-1.348,-2.396
MYCBP2,5,2.882,1.256,1.745,1.327,2.211,2.406,1.55,3.298
CDCA2,5,0.557,-0.447,-0.514,0.995,0.947,-0.086,0.528,2.11
MORC2,4,-0.4085,-0.1075,-2.0935,-0.3115,-0.414,-0.7715000000000001,-1.837,-2.2975
NAP1L4,4,0.7915,-0.08050000000000002,0.20300000000000007,-0.453,-1.0715000000000001,0.285,-0.33799999999999986,0.16750000000000004
POLR2A,4,0.2425,1.6395000000000002,1.0475,2.202,0.03399999999999981,0.9039999999999999,3.7095,0.984
ARID1A,4,-2.335,-0.6845,-2.1094999999999997,-0.26699999999999996,-2.344,-4.5305,-0.23900000000000002,-1.7705000000000002
STK11IP,4,2.491,3.722,2.984,3.6955,4.2005,2.843,3.5294999999999996,2.7015000000000002
LRRFIP1,4,2.438,1.2810000000000001,0.7320000000000001,-0.36250000000000004,2.2205,3.6685,2.155,1.7505000000000002
