geneid,n_sites,n_sig_aCD3_5min,n_sig_aCD3_aCD226_5min,n_sig_aCD3_aICOS_5min,n_sig_aCD3_aCD2_5min,n_sig_aCD3_10min,n_sig_aCD3_aCD226_10min,n_sig_aCD3_aICOS_10min,n_sig_aCD3_aCD2_10min,median_lfc_aCD3_5min,median_lfc_aCD3_aCD226_5min,median_lfc_aCD3_aICOS_5min,median_lfc_aCD3_aCD2_5min,median_lfc_aCD3_10min,median_lfc_aCD3_aCD226_10min,median_lfc_aCD3_aICOS_10min,median_lfc_aCD3_aCD2_10min,min_q_aCD3_5min,min_q_aCD3_aCD226_5min,min_q_aCD3_aICOS_5min,min_q_aCD3_aCD2_5min,min_q_aCD3_10min,min_q_aCD3_aCD226_10min,min_q_aCD3_aICOS_10min,min_q_aCD3_aCD2_10min,best_site_id,max_abs_signed_neglog10q
SRRM2,27,10,11,9,16,7,4,5,4,-0.292,-0.507,-1.527,-0.906,-0.495,-0.981,-0.025,-0.135,0.0006027260783742536,4.5836838788482e-05,0.0006272189047808346,0.0008514187252062244,0.009777878892250298,0.007804947867920701,0.0019772907080268178,0.010384605006136336,SRRM2-S2426,4.338785341827301
RASAL3,14,9,9,7,11,9,6,9,12,-1.822,-1.7685,-1.716,-1.5939999999999999,-1.5525,-1.875,-1.8215,-2.279,0.001550181107568475,0.003970544067395289,0.0001684943786197535,0.0017146995228667801,0.0011430540645529102,0.0007206407118683546,0.00016069703200166617,4.160712117030783e-05,RASAL3-S228,4.3808323323469684
MKI67,14,4,6,5,5,4,4,5,7,0.779,0.8835,2.207,0.2885,0.3245,1.079,1.1645,1.2245,0.000333978718151955,0.0009945959345997685,6.21441912983054e-05,0.0011301311195995945,0.001326760970749811,0.004968302981097481,0.002121644934411065,4.779368810668389e-06,MKI67-T1167,5.320629454882438
EMD,9,2,4,2,7,4,4,3,3,1.431,1.545,1.902,1.715,1.004,3.04,0.704,0.228,7.803294792794426e-05,0.026997040589525546,0.0024617875016101154,8.465232425484592e-05,0.014620983530040186,0.0016374074395738233,0.011039453840469704,1.746940100310915e-05,EMD-S120,4.757721986001856
SRRM1,8,5,3,0,1,1,1,1,4,-5.6055,-0.679,-0.664,-0.3805,-0.616,-2.0564999999999998,-2.3335,-1.0619999999999998,1.0173971758880717e-06,0.00544751979085868,0.10131195653407021,0.007473617795306777,0.003187002761122311,0.03417359736011774,0.00021240716086536849,0.0002460757642618866,SRRM1-S715,5.992509472226513
STIM2,8,6,5,6,5,7,3,3,4,4.604,4.867,4.1739999999999995,4.652,3.8075,1.4689999999999999,1.198,2.811,8.267851542538145e-05,3.5157830837540255e-05,3.3213089953879284e-06,1.582190629355359e-05,0.0013877290063737753,2.345736826639363e-05,5.838408089235123e-05,0.016303808601275272,STIM2-S697,5.4786907182741365
IWS1,7,3,1,4,6,1,2,4,2,-1.123,0.19,-1.262,-2.08,-0.545,-0.96,-1.292,0.395,7.829475980221158e-05,0.012394947017322884,0.022769796460072742,0.00011944643519397686,0.006030373916917618,2.216853157790393e-05,2.1583846013743947e-05,0.0002238430250857259,IWS1-S720,4.665871166060785
AKAP13,7,3,4,3,4,3,2,3,5,1.91,2.363,0.028,2.483,2.828,0.935,2.1,2.416,0.004212652935963675,0.01175318762184123,8.189323332133992e-05,0.0005525479940432426,0.0034909311176777136,0.00044178528035254905,0.0030907782466194533,8.614286162718752e-05,AKAP13-S2720,4.086751981665837
ATAD2,7,1,2,3,3,3,0,3,1,0.473,0.394,0.283,0.225,-0.21,1.206,0.297,0.053,0.014081493073872943,0.01620177845759624,4.405362139486183e-05,0.002453013967033204,0.0037293873793793502,0.05070097354458405,0.011163019823362002,0.03460775081764757,ATAD2-S61,4.3560183849327485
ARHGAP45,6,4,4,2,5,2,3,1,1,-3.6310000000000002,-1.5964999999999998,-3.967,-3.2279999999999998,-1.249,-2.9715000000000003,-2.7750000000000004,-1.4180000000000001,0.003945822576260757,0.0006815748873843836,0.006188977809993893,0.007262712260042507,0.04171675835863195,0.013171482405494454,0.01062155315878242,0.0035252562272230937,ARHGAP45-S578,3.1664864195196816
NFATC2,6,1,4,2,6,2,1,1,3,-1.1995,-1.475,-1.0750000000000002,-2.0115,-0.71,-0.6779999999999999,-0.7715,-1.3845,0.00921161829712183,0.002701936647009456,0.003956873373048549,0.0025038450878529144,0.005060978081294926,0.004307590955498588,0.0019798737462238688,0.0032749058326846372,NFATC2-S268,2.7033625032064053
RBL2,6,1,2,0,2,2,3,1,3,0.07950000000000002,-0.2525,-0.1925,-0.8955,-0.53,1.0635000000000001,-0.15250000000000002,0.1345,0.0008097715082741026,0.015083537294619784,0.0167385102461167,0.0005639629355426609,0.0039358581514442,0.0025001715384867125,0.008198419538591125,0.008435436444740686,RBL2-S1112,3.2487494375383617
RANBP2,6,3,1,1,3,2,1,1,4,0.6365,0.094,0.681,1.069,1.3425,0.6295,0.9675,2.5650000000000004,0.0004850569006217052,0.0012434762557109386,0.01089104688481451,0.007440643731935455,0.0039689232870003515,0.012541108747522562,0.046826062065216285,0.006006793596262667,RANBP2-S1400,3.3142073125801237
