term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
Progesterone-mediated oocyte maturation,18,496,16,1519,3.5373953974895396,0.00037945685105192264
Colorectal cancer,12,496,7,1519,5.355371900826446,0.00038827752555024354
Focal adhesion,22,496,24,1519,2.8911744022503516,0.0007172493130472902
Endometrial cancer,13,496,10,1519,4.061490683229814,0.0009935667995434935
Natural killer cell mediated cytotoxicity,21,496,26,1519,2.5387044534412957,0.002946548261511794
MAPK signaling pathway,27,496,38,1519,2.2436875771518348,0.0029808384316918754
Non-small cell lung cancer,15,496,17,1519,2.755289225877461,0.006053656529932443
Bladder cancer,11,496,11,1519,3.109278350515464,0.010414720300236685
Melanoma,13,496,14,1519,2.893374741200828,0.011003911148710997
Long-term depression,10,496,10,1519,3.1049382716049383,0.015420632018899101
