term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
mRNA surveillance pathway,7,216,18,1799,3.3139287612971824,0.01310271399089885
VEGF signaling pathway,0,216,32,1799,0.0,0.0422737865034451
Leukocyte transendothelial migration,0,216,34,1799,0.0,0.04407084914629404
RNA degradation,3,216,5,1799,5.053521126760564,0.045261067681464436
Axon guidance,8,216,29,1799,2.3474801061007957,0.052398649859328725
Renal cell carcinoma,7,216,26,1799,2.283952889216047,0.07864284419847926
ko05152,0,216,27,1799,0.0,0.1069593928182839
Cell cycle,1,216,40,1799,0.20453488372093023,0.11971899959864316
SNARE interactions in vesicular transport,2,216,4,1799,4.19392523364486,0.1284670792330407
Basal transcription factors,2,216,4,1799,4.19392523364486,0.1284670792330407
