term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
Long-term potentiation,18,477,19,1538,3.1351909184726523,0.0012461566086037282
MAPK signaling pathway,26,477,39,1538,2.2158167036215817,0.002782158155155565
Progesterone-mediated oocyte maturation,15,477,19,1538,2.5956937799043063,0.007588878665472995
Fructose and mannose metabolism,5,477,2,1538,8.135593220338983,0.00995403820826283
Melanoma,12,477,15,1538,2.6202150537634408,0.019667876583952373
Oocyte meiosis,10,477,12,1538,2.723054960742327,0.022383753853148423
Bladder cancer,10,477,12,1538,2.723054960742327,0.022383753853148423
Colorectal cancer,9,477,10,1538,2.9384615384615387,0.025619304758567413
Chronic myeloid leukemia,14,477,21,1538,2.1843052555795537,0.027452420232256355
Chagas disease (American trypanosomiasis),7,477,7,1538,3.2574468085106383,0.028392999638477457
