term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
positive regulation of histone modification,10,263,9,1752,7.654808959156785,3.8194756285742135e-05
regulation of transforming growth factor beta receptor signaling pathway,8,263,7,1752,7.820728291316526,0.00021401121577921783
regulation of histone modification,11,263,18,1752,4.205026455026455,0.0006008441737381475
regulation of smooth muscle cell differentiation,5,263,2,1752,16.95736434108527,0.0006138534969420482
cholesterol homeostasis,6,263,4,1752,10.202334630350194,0.000621640229982103
regulation of defense response to virus by virus,6,263,4,1752,10.202334630350194,0.000621640229982103
sterol homeostasis,6,263,4,1752,10.202334630350194,0.000621640229982103
protein complex assembly,4,263,109,1752,0.23279373738089335,0.0008020921376488584
regulation of protein deacetylation,6,263,5,1752,8.157198443579766,0.0012189914031873793
chromatin silencing at rDNA,4,263,1,1752,27.042471042471043,0.0012758832720246318
