term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
Osteoclast differentiation,0,263,29,1752,0.0,0.025699630523632763
Insulin signaling pathway,2,263,51,1752,0.25557809330628806,0.03838000952841388
Pathways in cancer,3,263,62,1752,0.31451612903225806,0.03854320495498738
Axon guidance,9,263,28,1752,2.1816647919010124,0.04864372815321699
Cell cycle - yeast,5,263,12,1752,2.810077519379845,0.05987741740863711
Toll-like receptor signaling pathway,0,263,21,1752,0.0,0.09831511243940373
mTOR signaling pathway,1,263,31,1752,0.21189362226052696,0.11241718719793406
Fc epsilon RI signaling pathway,1,263,32,1752,0.20515267175572519,0.11378532015142392
Leukocyte transendothelial migration,1,263,33,1752,0.1988202637057599,0.1167897483168776
Toxoplasmosis,0,263,18,1752,0.0,0.15415395371110005
