term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
Pathways in cancer,1,219,64,1796,0.12413990825688073,0.007664482661802044
RNA transport,1,219,60,1796,0.1327217125382263,0.01140540021994515
VEGF signaling pathway,0,219,32,1796,0.0,0.042263943547700536
Fc epsilon RI signaling pathway,0,219,33,1796,0.0,0.04313601244272572
RNA degradation,3,219,5,1796,4.975,0.04690357455706901
Cell cycle - yeast,4,219,13,1796,2.5516994633273704,0.10419190128690707
ko05152,0,219,27,1796,0.0,0.1084233778066192
SNARE interactions in vesicular transport,2,219,4,1796,4.129032258064516,0.13152218826977516
Calcium signaling pathway,0,219,20,1796,0.0,0.15652219148192345
GnRH signaling pathway,0,219,22,1796,0.0,0.16028578653628964
