term,n_query_with,n_query,n_rest_with,n_rest,odds_ratio,p_fisher
Oocyte meiosis,17,687,5,1328,6.713731343283582,3.926087597871788e-05
Long-term potentiation,23,687,14,1328,3.2510757314974184,0.0006273836441338613
Colorectal cancer,13,687,6,1328,4.24975272007913,0.0026109001235402594
Progesterone-mediated oocyte maturation,20,687,14,1328,2.814307132148212,0.0031588359376557174
ko05152,17,687,10,1328,3.344179104477612,0.0032390667215864933
Alzheimer's disease,9,687,3,1328,5.8628318584070795,0.004479937764189378
Vitamin digestion and absorption,5,687,0,1328,inf,0.004562783801737267
Insulin signaling pathway,28,687,25,1328,2.214506828528073,0.004932235496423243
Acute myeloid leukemia,15,687,10,1328,2.9419642857142856,0.009462825902052274
MAPK signaling pathway,32,687,33,1328,1.9171871385611843,0.011192374212252047
