gene	score
AGAP2	5.376630726946176
SPN	5.376630726946176
PPP1R12A	5.360569463554476
EML3	4.8756607226101565
RAB3GAP1	4.8756607226101565
MAPRE2	4.833751981665837
TMF1	4.833751981665837
PLCG1	4.719902157384737
PRKAB1	4.719902157384737
SYNRG	4.710690718274137
SMARCD2	4.63245282453335
CAMK4	4.616629454882437
ITPRID2	4.616629454882437
PRKCQ	4.616629454882437
FBXO46	4.569958393604787
TPD52	4.5397819773298185
BAZ1A	4.497237308244106
ERF	4.497237308244106
PTPN22	4.497237308244106
MATR3	4.480667503568732
RBM27	4.480667503568732
R3HDM1	4.480667503568732
SMARCAD1	4.480667503568732
CLIP1	4.480667503568732
MON2	4.434023412104399
GAPDH	4.404988389268768
ABI3	4.404577516576788
RGS19	4.224574079253011
LIMA1	4.111293328946248
EIF4G3	4.109758762624413
WASHC2A	4.107721986001856
EMD	4.107721986001856
IWS1	4.106267303908087
STIM2	4.082607330162229
GART	4.0107507096021
PPP1R3E	3.997705552255026
DEAF1	3.936512815861312
CRTC2	3.936512815861312
ASB3	3.9177853418273014
NUP50	3.9059032320494804
ZNF692	3.8918721617207566
CHD1L	3.8393585629637674
SEPTIN6	3.8393585629637674
SIPA1	3.8393585629637674
PFKFB3	3.8393585629637674
BSG	3.8393585629637674
BOD1L1	3.8393585629637674
CNK3	3.8393585629637674
GLUD1	3.8393585629637674
AP3D1	3.8393585629637674
NUP214	3.817607512240769
PLEKHA3	3.7668323323469686
ZNF609	3.7587411919574887
LARP1	3.7500001973989945
NCOA5	3.7500001973989945
ZFC3H1	3.7095994592184556
PROSER3	3.678994491105162
HTT	3.6733233246102293
CAMK1	3.6715875646025866
ETV3	3.6579283979408053
BCL10	3.649028724845131
RAF1	3.649028724845131
TAOK3	3.6299921443766814
HIPK1	3.5865508645476063
ACIN1	3.5652972995720673
BTF3	3.524992420780447
LRRC41	3.501637325826211
RPS6KA1	3.4912330775153597
MKNK1	3.4797807052660805
CHORDC1	3.473735547919007
TRAT1	3.456144666824062
TMX1	3.4269332277134623
RCSD1	3.4269332277134623
BCL11B	3.4269332277134623
BCL9L	3.4269332277134623
AHNAK	3.4269332277134623
MDM1	3.387902157384737
CD5	3.362587915709932
TASOR	3.362587915709932
ICE1	3.348414323562985
REPS1	3.308967461453431
TPR	3.3056953339726736
GIGYF1	3.303391479532637
HMGA1	3.2560564336190434
GOLGA8O	3.2462948425429623
CNOT4	3.24386930290126
STMN1	3.23941458366591
NUP107	3.219880017344076
JUNB	3.219880017344076
SRRM2	3.219880017344076
JMJD1C	3.2197194418743806
GTSE1	3.2197194418743806
BCCIP	3.1810991825257613
SYNE1	3.174452824533349
SARAF	3.1740834034323617
EVL	3.1713611131935986
ZBTB21	3.1546142705913196
CCRL2	3.15404838059673
RACGAP1	3.142230039382919
PIK3C2A	3.1373885586277486
RBL2	3.0916375079047502
MAP4K4	3.0916375079047502
NUP153	3.0607285848818924
RPS6KA3	3.053797816609569
EDC3	3.0288719643217616
ZNF217	2.9878623280109493
ZHX3	2.970826806974688
SETX	2.93077118762147
FYB1	2.8956007312821934
ZC3H11A	2.8956007312821934
MPZL1	2.8904864195196818
DHCR7	2.8843530601712843
TRAFD1	2.826906596546964
PURB	2.81869707663047
RASA3	2.8113533202742103
ARAF	2.8109934164404184
CIC	2.808225943374096
PANK2	2.7975055826186663
EPB41	2.7975055826186663
CEP131	2.7975055826186663
PHRF1	2.778058720509112
PHACTR4	2.7519294745354066
DMTN	2.7519294745354066
RIPOR2	2.7281880470956965
PDE4A	2.7245808602115873
MED1	2.7089605619569417
