Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION,-0.7399739581673161,-2.191206929874405,0.0,0.07218271249099283,0.07,6/12,11.17%,POLR1F;MNAT1;SMARCA5;TTF1;SIRT1;BAZ2A
prerank,REACTOME_RHOU_GTPASE_CYCLE,-0.6004132047069021,-1.9426922559988287,0.0,0.3654249819856512,0.49,6/14,7.88%,ARHGAP30;PAK2;ITSN2;PEAK1;PAK1;GIT2
prerank,KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.6659075110364744,1.7887002791878301,0.0,1.0,0.52,10/14,26.68%,PLCG1;SIPA1;VAV1;VASP;ARHGAP5;AFDN;CXCR4;PXN;PRKCB;ARHGAP35
prerank,NAGASHIMA_NRG1_SIGNALING_UP,0.719479254452029,1.7757365507377303,0.0,0.6105192296435052,0.62,5/11,18.39%,PFKFB3;BCL10;JUNB;CXCR4;NDEL1
prerank,REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_INITIATION,-0.5955962527542578,-1.7651531162355911,0.041666666666666664,0.8331088066668756,0.9,4/11,9.93%,POLR1F;MNAT1;TTF1;GATAD2A
prerank,REACTOME_RHOV_GTPASE_CYCLE,-0.5684625856107879,-1.756224425666891,0.0,0.6676900905416837,0.9,5/12,7.88%,PAK2;PEAK1;PAK1;ARHGAP12;GIT2
prerank,REACTOME_SEMAPHORIN_INTERACTIONS,-0.5743983156133897,-1.7536399348721428,0.0,0.543174911494721,0.9,4/13,4.68%,PAK2;PAK1;LIMK1;LIMK2
prerank,KOYAMA_SEMA3B_TARGETS_DN,-0.4906258178802313,-1.7392898554578686,0.0,0.4917447288448887,0.91,8/22,15.68%,HIVEP2;BRAF;PRKAA1;DTL;ETS1;DNAJC21;SVIL;NCAPD2
prerank,REACTOME_EPH_EPHRIN_SIGNALING,-0.6606749726175096,-1.7290666118005746,0.0,0.45500888409500834,0.93,4/10,4.68%,PAK2;PAK1;LIMK1;LIMK2
prerank,WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONAVIRUSES_MAPK_SIGNALING,0.6830956274422704,1.699209897459665,0.013333333333333334,1.0,0.94,6/12,15.11%,RAF1;RPS6KA1;JUNB;RPS6KA3;MAPK3;MAPK1
prerank,WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME,-0.5861737635746274,-1.6862240079419348,0.0,0.5357310692690874,0.99,4/11,8.87%,EIF4ENIF1;SMARCA5;RIF1;SIRT1
prerank,COULOUARN_TEMPORAL_TGFB1_SIGNATURE_UP,0.6510703015109037,1.6828656614103505,0.015151515151515152,1.0,0.96,8/12,23.89%,LIMA1;EMD;PLEKHA3;GTSE1;TMSB4X;IQGAP1;HMGXB4;VIM
prerank,WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS,0.6549239637394875,1.6721549466676633,0.013333333333333334,1.0,0.97,5/15,4.84%,CAMK4;PRKCQ;RGS19;STIM2;CAMK1
prerank,PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_DN,0.6458736407527279,1.6618964661071212,0.0,0.9662279124610096,0.98,7/17,14.12%,EIF4G3;ZFC3H1;HIPK1;JMJD1C;SARAF;IRF2BP2;RSRC2
prerank,KEGG_OOCYTE_MEIOSIS,0.6340048587794073,1.6522035546520246,0.012195121951219513,0.9366669573642253,0.99,7/14,19.29%,RPS6KA1;RPS6KA3;MAPK3;MAPK1;CDC27;PPP3CB;PPP2R5D
prerank,REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,0.6781782946819457,1.638412517113216,0.012658227848101266,0.8676099603337208,1.0,5/10,17.08%,RPS6KA1;RPS6KA3;MAPK3;MAPK1;CDC27
prerank,WP_SENESCENCEASSOCIATED_SECRETORY_PHENOTYPE_SASP,0.6781782946819457,1.638412517113216,0.012658227848101266,0.8676099603337208,1.0,5/10,17.08%,RPS6KA1;RPS6KA3;MAPK3;MAPK1;CDC27
prerank,REACTOME_OPIOID_SIGNALLING,0.660821070438274,1.6380215868740755,0.013157894736842105,0.7829011297781421,1.0,8/12,24.14%,CAMK4;PDE4A;MAPK1;GRK2;PPP3CB;PPP2R5D;CAMKK1;PRKAR2A
prerank,LINDGREN_BLADDER_CANCER_WITH_LOH_IN_CHR9Q,0.6656533775183465,1.625022747585627,0.014705882352941176,0.8432534508750631,1.0,5/12,15.19%,PRKCQ;NUP214;SETX;DOCK8;EPRS1
prerank,BIOCARTA_NFAT_PATHWAY,0.6797589847650101,1.6220653269811756,0.0,0.7900837089504186,1.0,8/11,24.14%,CAMK4;CAMK1;RAF1;MAPK3;MAPK1;NFATC2;PPP3CB;PRKAR2A
prerank,STEIN_ESRRA_TARGETS_DN,0.5963890268584089,1.6219276626499566,0.014084507042253521,0.7308866278602273,1.0,10/17,28.16%,RGS19;LRRC41;ZHX3;MORC2;DCAF15;PRKD2;PEA15;HLA-E;TACC1;PHIP
prerank,KEGG_LONG_TERM_POTENTIATION,0.6167323414398905,1.6197302282568584,0.012048192771084338,0.691872932513168,1.0,10/16,18.23%,PPP1R12A;CAMK4;RAF1;RPS6KA1;RPS6KA3;ARAF;MAPK3;MAPK1;EP300;PPP3CB
prerank,REACTOME_MITOCHONDRIAL_BIOGENESIS,0.63397116890102,1.618245404061088,0.01282051282051282,0.6546407874160611,1.0,5/13,10.34%,PRKAB1;CAMK4;CRTC2;GLUD1;MED1
prerank,HAMAI_APOPTOSIS_VIA_TRAIL_DN,0.6780587431645464,1.6108647943231817,0.028169014084507043,0.6720841939773041,1.0,5/10,13.63%,SMARCD2;ERF;RPS6KA1;INF2;VASP
prerank,REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION,-0.4968423905864553,-1.6092260931418498,0.08333333333333333,0.7629311695228548,1.0,4/13,9.93%,POLR1F;MNAT1;TTF1;GATAD2A
