Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION,-0.6739503916276595,-2.24694902207403,0.0,0.05350362443907491,0.05,10/12,23.89%,SMARCA5;ARID4B;SIRT1;TTF1;BAZ2A;POLR1F;POLR1G;SUDS3;SAP30BP;HDAC1
prerank,THUM_SYSTOLIC_HEART_FAILURE_DN,0.6375257351610559,1.8930805025584714,0.0,0.1875954614881082,0.18,11/26,12.64%,LMO7;RBBP6;NKTR;AP3D1;PPP1R10;PLEKHA2;ZC3H11A;TASOR2;ZBTB21;MAP4K4;MAST4
prerank,PID_HDAC_CLASSI_PATHWAY,-0.48661169385261455,-1.867818137916653,0.0,0.5617880566102865,0.6,7/17,16.09%,EP300;RANBP2;SIRT1;NCOR1;ZFPM1;MAX;GATAD2A
prerank,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,0.6557141898205914,1.8441422919815376,0.0,0.21721579751254638,0.35,13/21,23.56%,CAMK4;PLCB2;RPS6KA3;RPS6KA1;MAPK3;MDM2;MAPK1;PRKAA1;CAMK1;PRKAR2A;GIT1;PRKCB;CAMKK1
prerank,BIOCARTA_NFAT_PATHWAY,0.7218995750013432,1.8369322254525313,0.0125,0.15468397701651027,0.37,8/11,19.05%,CAMK4;MAPK3;RAF1;PPP3CB;MAPK1;NFATC2;CAMK1;PRKAR2A
prerank,REACTOME_TP53_REGULATES_METABOLIC_GENES,0.7418283940164647,1.8198369746585588,0.0,0.14316495745145102,0.42,4/11,15.60%,TNRC6C;RPTOR;YWHAQ;PRKAA1
prerank,REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,0.6630454432985651,1.8093925348185345,0.0,0.13625354571241544,0.5,13/20,23.56%,CAMK4;PLCB2;RPS6KA3;RPS6KA1;MAPK3;MDM2;MAPK1;PRKAA1;CAMK1;PRKAR2A;GIT1;PRKCB;CAMKK1
prerank,BROWNE_HCMV_INFECTION_10HR_UP,-0.5264374284246627,-1.7924088729827734,0.04,0.6670118513404671,0.78,5/11,9.61%,EP300;BRAF;GBF1;SOS1;PRPF19
prerank,MARTIN_INTERACT_WITH_HDAC,0.6815392633498469,1.78241680382157,0.012658227848101266,0.17443086769946903,0.63,6/13,15.76%,PPP1R12A;MAPK3;MARK2;MAPK1;YWHAQ;CAMK1
prerank,REACTOME_NUCLEAR_RNA_DECAY,0.7527602581372794,1.7727739583290243,0.0,0.16502758642186965,0.65,5/10,5.67%,YTHDC2;RBM27;ZC3H18;ZC3H3;ZFC3H1
