Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,SMIRNOV_RESPONSE_TO_IR_6HR_UP,-0.6840799388239529,-2.277414921166742,0.0,0.029857204673301597,0.03,4/13,5.01%,MAP4K4;MICALL1;LIG1;AAK1
prerank,REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION,-0.6836075171014139,-2.149510067165052,0.0,0.0646906101254868,0.13,9/12,19.62%,POLR1F;SIRT1;BAZ2A;ARID4B;POLR1G;SAP30BP;TTF1;SMARCA5;HDAC1
prerank,IZADPANAH_STEM_CELL_ADIPOSE_VS_BONE_UP,-0.6198853622817623,-1.9967352201815662,0.0,0.18246069522573202,0.38,3/11,7.22%,PTPRK;ETS1;DDX39A
prerank,REACTOME_RHOH_GTPASE_CYCLE,-0.6348478806486528,-1.9946333081859793,0.045454545454545456,0.136845521419299,0.38,5/10,9.93%,PAK2;PAK1;SLC4A7;TUBA1B;DBN1
prerank,SASSON_RESPONSE_TO_FORSKOLIN_DN,-0.6770892280695433,-1.9049244020378577,0.0,0.20302899177845088,0.58,3/11,0.74%,MAP4K4;PI4K2A;ARHGAP35
prerank,SIG_BCR_SIGNALING_PATHWAY,0.7278172777439263,1.899646773701412,0.0,0.1901627852636498,0.19,10/13,20.94%,MAPK3;GSK3A;VAV1;INPP5D;RAF1;PPP3CB;ITPR3;NFATC2;MAPK1;BAD
prerank,KEGG_LONG_TERM_POTENTIATION,0.7063422453996387,1.8507865215143418,0.0,0.25521847495910893,0.4,10/16,11.41%,MAPK3;PPP1R12A;ARAF;RPS6KA1;CAMK4;RPS6KA3;RAF1;PRKCB;PPP3CB;ITPR3
prerank,PID_NFAT_3PATHWAY,0.6790707380389825,1.8214683444753874,0.0,0.29024846171820234,0.54,12/17,21.67%,MAPK3;PRKCQ;NUP214;CAMK4;PRKCB;PPP3CB;YWHAQ;NFATC2;PRKCD;BAD;EP300;MAPK14
prerank,RODRIGUES_THYROID_CARCINOMA_DN,-0.594245084539188,-1.8213973343300913,0.05555555555555555,0.25544497331602484,0.73,5/12,4.93%,ARHGAP35;PTPRK;HIVEP2;SYTL2;RNF213
prerank,REACTOME_SEMAPHORIN_INTERACTIONS,-0.5788222823880105,-1.821276269483063,0.0,0.2189528342708784,0.73,7/13,22.09%,ARHGAP35;PAK2;PAK1;CFL1;DPYSL2;FARP2;LIMK2
prerank,KEGG_VEGF_SIGNALING_PATHWAY,0.6790856576304275,1.8055998243286253,0.0,0.2502141911363813,0.58,10/15,21.67%,PLCG1;MAPK3;RAF1;PRKCB;PPP3CB;PXN;NFATC2;MAPK1;BAD;MAPK14
