gene	score
PPP1R10	6.2644794765625305
TRIM22	6.256660722610156
RAB3GAP1	6.138599459218455
CBLL1	6.043509472226513
RGS19	6.043509472226513
PPP1R12A	6.04163750790475
IRF2	6.04163750790475
PUM2	5.943600731282193
TMF1	5.834958393604786
BOD1L1	5.834958393604786
INTS1	5.785781977329818
STK17B	5.761263073179341
ARHGAP25	5.746728766960432
DYNC1LI1	5.746728766960432
MYH9	5.660237308244105
ANKLE2	5.660237308244105
MKRN2	5.567873236385499
SPINDOC	5.567873236385499
PLCG1	5.567873236385499
ARFGAP1	5.567873236385499
ACIN1	5.454907470125468
AASDH	5.454907470125468
ZFC3H1	5.445630726946175
SIPA1	5.387988389268767
TTC39B	5.387988389268767
LRRC41	5.387988389268767
TPR	5.386577516576788
ERF	5.363811972993799
SPN	5.359293328946248
CYTIP	5.359293328946248
CLIP1	5.359293328946248
PLCB2	5.359293328946248
ARAF	5.359293328946248
POLR2A	5.351962148712699
INCENP	5.351962148712699
DYNC1I2	5.293267303908086
USP1	5.293267303908086
RIC1	5.282705552255027
NSD3	5.282705552255027
PPP3CB	5.282705552255027
LIMD1	5.259512815861312
CD2AP	5.259512815861312
R3HDM1	5.129903232049481
ITPRID2	5.129903232049481
ARHGAP11A	5.048872161720756
ATAD5	5.041384327899004
EML3	5.041384327899004
SETD1A	5.001660722610156
SYNE1	4.9858393072372795
GIGYF1	4.931901161724766
KIF20A	4.930422828869368
KIAA1143	4.930422828869368
FGD3	4.8885842749273385
PHACTR4	4.882018384932749
GMIP	4.868358562963767
ZNF395	4.806607512240769
STIM2	4.8007411919574885
CCRL2	4.8007411919574885
FOXP1	4.8007411919574885
ZNF609	4.775570735618213
SMARCD2	4.770323064507304
LENG1	4.764604074916992
PPP1R3E	4.764604074916992
RTF2	4.734323324610229
GOLGA8O	4.734323324610229
YWHAQ	4.734323324610229
RPS6KA3	4.6445875646025865
CHD1L	4.633928397940806
PLEKHO1	4.59402872484513
DENND4C	4.59402872484513
TOPBP1	4.578899478871425
FAM193A	4.578899478871425
ZNF217	4.524751981665837
TRAFD1	4.520550864547606
NKTR	4.5112972995720675
CRTC2	4.4649924207804474
YJU2B	4.439637325826211
BCCIP	4.42323307751536
CEP131	4.412780705266081
TICRR	4.384735547919008
MAP7D3	4.3828308460091545
CNK3	4.3828308460091545
UBXN4	4.355109643988429
PRKCQ	4.346542811525293
UTP14A	4.346542811525293
KAT6A	4.34569877129645
GART	4.2808153374912825
PRKCD	4.2788932499117225
PHIP	4.273933227713462
PDAP1	4.248935970167136
BTF3	4.22583245101317
MAP4	4.22583245101317
RSRC2	4.211967461453431
NUP50	4.1936953339726735
AHNAK	4.1873914795326375
SNX17	4.1478693029012605
MKNK1	4.1478693029012605
IRF2BP2	4.145414583665911
DENND4A	4.143419485234569
AFDN	4.143419485234569
NFIC	4.134099182525762
ETV3	4.134099182525762
RPS6KA1	4.1314528245333495
RAF1	4.0747807678822765
INPP5D	4.072361113193598
SEPTIN6	4.0586142705913195
MARF1	4.0528432407215185
RAPGEF6	4.025048380596729
TLK1	3.9842300393829193
DBNL	3.9703885586277488
NOL8	3.9585242724806076
HAUS6	3.9437285848818924
ARHGAP35	3.9437285848818924
TAOK3	3.932877474461487
PIK3C2A	3.932877474461487
IWS1	3.922826806974688
GTSE1	3.922826806974688
DMTN	3.9106957406387863
RFXAP	3.9016007312821936
PFKFB3	3.9013530601712847
PLCH2	3.8982009030441107
OXR1	3.8876340705809738
LIMK1	3.883409124635746
IL16	3.860906596546964
DHCR7	3.856629454882437
NUP153	3.8503353482583624
NME2	3.783617560266568
RCSD1	3.7722259433740954
ZBTB21	3.741818753952375
PRRC2A	3.734396176840186
RPTOR	3.6640587205091117
PLEKHA2	3.643547520912807
RBM25	3.6290221400406617
CARHSP1	3.6163625032064055
PFKL	3.6121880470956964
TAGAP	3.6121880470956964
LARP4B	3.604580860211587
PARN	3.598960561956942
OPTN	3.5983510787630117
SCML2	3.5983510787630117
TPD52	3.5983510787630117
RACGAP1	3.5983510787630117
WDR74	3.5899712763997567
BAZ1A	3.5782630731793414
APC	3.566810700930062
FBXO38	3.5263112021567387
SASH3	3.52454408358903
DOCK8	3.5227655435829885
GEMIN5	3.517975698388105
KDM3B	3.4930055101397257
GRAP2	3.4930055101397257
ZC3H11A	3.4930055101397257
PROSER3	3.4924798176834297
ANLN	3.4924798176834297
STK11IP	3.4924798176834297
PRAG1	3.4924798176834297
VGLL4	3.476728766960431
PJA2	3.46288907566525
PDE4A	3.446947932142117
INF2	3.443969206075042
EPB41	3.437965965831117
UBE2O	3.4349535870666306
SGTB	3.434932153048719
NELFE	3.4107574905606755
ZHX3	3.3966179113739137
MAP4K4	3.370535329419635
SLC12A2	3.3643449545664006
TASOR	3.3582373082441053
AGAP2	3.3391214521186567
KAT7	3.3309974571174115
FBXO46	3.3288653932525314
PANK2	3.3285773344982483
PALM2AKAP2	3.327421475196619
CDCA5	3.3272578182366157
PHRF1	3.3220864292830243
HELLS	3.3097207139381184
