gene	score
SPN	6.095630726946175
SPINDOC	5.392751981665837
ANKLE2	5.392751981665837
RAB3GAP1	5.392751981665837
ACIN1	5.392751981665837
ZFC3H1	5.345509472226513
MKI67	5.320629454882438
BOD1L1	5.320629454882438
MKNK1	5.320629454882438
PLCG1	5.155263073179341
TMF1	5.155263073179341
TCF12	5.143932153048718
AFDN	5.143932153048718
ABR	5.120237308244105
MAPK3	5.09344948089855
TBC1D10B	5.09344948089855
LIG3	5.0296675035687315
BAZ1A	5.0296675035687315
PTDSS1	5.0296675035687315
TAF2	4.940871166060784
PRKDC	4.940871166060784
PRKCQ	4.940871166060784
PRKAA1	4.876659450546418
USP36	4.8310234121044
NSD3	4.829988389268768
ERC1	4.8175775165767885
NKTR	4.809574079253011
CNK3	4.809574079253011
ERCC6	4.800569463554475
PHACTR4	4.796293328946248
SIPA1	4.790977927806098
EMD	4.757721986001856
PPP1R12A	4.757721986001856
MATR3	4.753267303908086
PALM2AKAP2	4.718750709602099
ERF	4.718750709602099
FAM53B	4.714079648324448
GIGYF1	4.714079648324448
MSL3	4.714079648324448
GSK3A	4.686512815861312
CEP131	4.670785341827302
STK17B	4.640903232049481
SETD1A	4.601697499232713
BCL7C	4.594384327899004
SAFB2	4.553937465789449
SNX27	4.5493614838686565
CAMK1	4.541660722610156
SYNE1	4.50583930723728
PHIP	4.477901161724766
GOLGA8O	4.4740534077683805
EPB41L2	4.4740534077683805
NUP214	4.4445842749273385
SHKBP1	4.431018384932748
VAV1	4.42160751224077
HIRIP3	4.42160751224077
ARAF	4.418767820945588
HTT	4.38984196865778
GPRIN3	4.374741191957488
RPS6KA1	4.3735707356182125
HNRNPA2B1	4.352323064507304
CD2AP	4.274000197398994
CYTIP	4.235604074916992
ABI3	4.220136563516953
FGD3	4.205994491105162
CCRL2	4.205994491105162
RBM27	4.199323324610229
SPRY1	4.17000792347008
LARP1	4.17000792347008
CAMK4	4.15999214437668
PHF20L1	4.15999214437668
ICE1	4.1442972995720675
PROSER3	4.1442972995720675
LRRC41	4.1442972995720675
RPS6KA3	4.134637325826211
GMIP	4.134637325826211
SPEN	4.10023307751536
AKAP13	4.06478070526608
WASHC2A	4.028281206492757
INPP5D	3.9967355479190068
SLAMF7	3.9951446668240624
CIC	3.992509472226512
FAM193A	3.98810964398843
EIF4B	3.98810964398843
TOPBP1	3.9523466969316843
MON2	3.9115428115252926
LUC7L	3.8218153374912824
ZBTB3	3.8158932499117224
MARK2	3.801902157384738
SEPTIN6	3.79183245101317
BCCIP	3.7807274948966936
AASDH	3.777587915709932
GART	3.730207312580124
BTF3	3.7269674614534303
RAF1	3.685695333972674
CD3G	3.6613914795326377
IWS1	3.6500564336190426
SUB1	3.6258693029012607
NFKB2	3.62241458366591
PRKD2	3.593419485234569
SGTB	3.571719441874381
ETV3	3.5647807678822763
RACGAP1	3.5647807678822763
R3HDM1	3.516361113193598
SCML2	3.516361113193598
BORA	3.5086142705913197
NUP50	3.4818432407215183
NFATC2IP	3.47804838059673
AHNAK	3.4593885586277486
PRKCB	3.417524272480607
CBLL1	3.4116375079047505
PPP3CB	3.4078455096915747
INF2	3.4078455096915747
LIMA1	3.4078455096915747
NMT1	3.3768719643217615
TPD52	3.3628774744614875
TMEM201	3.3628623280109493
GTSE1	3.3556957406387866
RCSD1	3.345486419519682
MPZL1	3.322030193062975
ARHGAP11A	3.3128411703968035
ZNF408	3.310634070580974
FKBP15	3.309409124635746
KAT6A	3.298166559180935
CDC25B	3.2839065965469634
AP3D1	3.2786294548824366
RFTN1	3.2780244867691435
ZBTB21	3.2776970766304703
MTM1	3.2703533202742103
PANK2	3.2636175602665674
UTP14A	3.249225943374096
ZC3H11A	3.248396176840186
TNRC6C	3.248396176840186
MAP3K7	3.2035055826186665
FOXO1	3.1950379191340614
PPP1R10	3.187555575355307
EVL	3.1740587205091124
CHAMP1	3.169547520912807
EPRS1	3.156022140040662
ITPR3	3.1449294745354064
ZW10	3.1423625032064053
SLC4A1AP	3.1279605619569417
PURB	3.0823272952360488
REPS1	3.060681200629526
SLC12A2	3.0583510787630113
SIPA1L3	3.0583510787630113
BCL7B	3.0572630731793415
SETX	3.0572630731793415
TACC3	3.0455428394742396
EMSY	3.0268107009300618
JUNB	3.0203112021567384
SMARCD2	3.0203112021567384
PPP1R3E	3.0185440835890307
PHRF1	2.976362548636219
DHCR7	2.962539467890494
CRTC3	2.958705529647001
MAST4	2.9552633332822666
EIF5B	2.9552633332822666
CRTC2	2.948572807189274
STMN1	2.948572807189274
IGHMBP2	2.9456557583375664
TMX1	2.9217287669604315
PIK3C2A	2.912923245575703
BAZ1B	2.912923245575703
RFLNB	2.8999479321421178
CARHSP1	2.897963223377443
IL16	2.884969206075042
SUGT1	2.875965965831117
STXBP5	2.8729321530487186
GATAD2B	2.8729321530487186
PRRC2A	2.870862446677151
SSBP3	2.870862446677151
ITPRID2	2.8677574905606753
THRAP3	2.8596919903378746
LARP4B	2.8506179113739134
INTS1	2.831535329419635
PLCH2	2.821237308244105
ZNF106	2.8171214521186565
AGAP2	2.811997457117412
ASB3	2.8108653932525316
DDX20	2.806725329636655
HMGN1	2.8045773344982488
RIPOR2	2.801421475196619
ZC3H13	2.774526514801381
VASP	2.7671157458248246
GRAP2	2.741444579329891
PRIMPOL	2.741444579329891
IRF2BP2	2.7392064254861777
PTPN7	2.7061831937075507
IQGAP2	2.7061831937075507
PXN	2.6999100130080564
