Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,PID_SMAD2_3NUCLEAR_PATHWAY,-0.710766498084441,-2.226095310539672,0.0,0.0,0.0,4/10,7.06%,RBL1;NCOR1;DCP1A;NCOA2
prerank,REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION,-0.7677065082421802,-2.0257219917386844,0.0,0.02152125751661568,0.05,8/12,17.98%,SIRT1;POLR1F;SAP30BP;TTF1;SMARCA5;BAZ2A;POLR1G;SUDS3
prerank,KEGG_LONG_TERM_POTENTIATION,0.7614688272513694,1.926140296051571,0.0,0.010553272340513413,0.01,11/16,13.38%,MAPK3;ITPR3;PPP1R12A;CAMK4;ARAF;RPS6KA3;RPS6KA1;PPP3CB;RAF1;MAP2K2;MAPK1
prerank,PID_CD8_TCR_DOWNSTREAM_PATHWAY,0.6837964293913718,1.8607134865754573,0.0,0.04221308936205365,0.07,10/15,16.26%,MAPK3;PRKCQ;JUNB;PPP3CB;RAF1;NFATC2;MAP2K2;MAPK1;CD3G;PTPN7
prerank,SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES,0.6834153447773494,1.76931362244079,0.0,0.13719254042667436,0.21,6/14,13.38%,PDPK1;MAPK3;RPS6KA3;RPS6KA1;RAF1;MAPK1
prerank,KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.6881843972520114,1.751443343407144,0.0,0.14510749468205944,0.32,9/14,16.91%,MAPK3;ITPR3;PPP1R12A;PRKCQ;ARAF;RAF1;MAP2K2;MAPK1;ARHGEF12
prerank,WP_INSULIN_SIGNALING,0.5905696934380997,1.7264057531666215,0.011235955056179775,0.16252039404390659,0.41,14/33,14.70%,PDPK1;MAPK3;PFKL;PRKCQ;RPS6KA3;MAP3K3;RPS6KA1;RAF1;SLC2A1;MAP2K2;MAPK1;MAP4K4;PRKAA1;CBLB
prerank,WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONAVIRUSES_MAPK_SIGNALING,0.7071408985540537,1.7139306075025256,0.0,0.16181684255453901,0.44,7/12,13.38%,MAPK3;JUNB;RPS6KA3;RPS6KA1;RAF1;MAP2K2;MAPK1
prerank,WP_MACROPHAGESTIMULATING_PROTEIN_MSP_SIGNALING,0.629120283450991,1.712696670032685,0.0,0.14171537142975157,0.46,17/21,30.30%,PDPK1;MAPK3;PLCG1;NDRG1;RPS6KA3;RPS6KA1;RAF1;CRKL;SLC2A1;MAP2K2;MAPK1;PDCD4;RPS6;ACACA;PRKCB;VIM;MAPK14
prerank,KEGG_VEGF_SIGNALING_PATHWAY,0.6744575963435123,1.7088938216265195,0.0,0.12795842712872516,0.46,13/15,31.03%,MAPK3;PLCG1;PPP3CB;RAF1;SPHK2;NFATC2;MAP2K2;MAPK1;PXN;PRKCB;PIK3R5;MAPK14;BAD
prerank,WP_TCELL_ACTIVATION_SARSCOV2,0.6232036898891395,1.707751041169508,0.0,0.11843116737687275,0.46,12/22,25.12%,PDPK1;MAPK3;PRKCQ;PLCG1;RAF1;MAP2K2;GRAP2;MAPK1;CD3G;LCP2;STAT4;RICTOR
prerank,REACTOME_CIRCADIAN_CLOCK,-0.5613330712629581,-1.7031780022619145,0.0,0.26782009354010616,0.54,6/13,7.96%,MED1;SIRT1;NCOR1;NCOA2;ADRM1;KMT2A
prerank,REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS,0.6965595282024726,1.698074365849137,0.0,0.12136263191590427,0.48,6/13,8.78%,POLR2A;NUP214;POM121C;NUP50;TPR;NUP153
prerank,WP_MODULATORS_OF_TCR_SIGNALING_AND_T_CELL_ACTIVATION,0.6569267100775914,1.6880358299299945,0.012987012987012988,0.12088293771860821,0.51,8/16,20.28%,PDPK1;PRKCQ;PLCG1;GRAP2;VAV1;CBLB;CD3G;LCP2
prerank,WP_OREXIN_RECEPTOR_PATHWAY,0.6298468582763805,1.6865393462689835,0.012195121951219513,0.11432711702222866,0.51,14/23,25.78%,PDPK1;MAPK3;JUNB;RPS6KA1;SLC2A1;BTF3;MAP2K2;MAPK1;HMGA1;PRKAA1;EIF4B;RPS6;PRKCB;PRKCD
prerank,REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION,0.7263846203715782,1.6775330484706343,0.0,0.123392107366003,0.59,7/10,20.28%,ITPR3;PLCG1;PPP3CB;NFATC2;GRAP2;VAV1;LCP2
prerank,REACTOME_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES,0.6148668043133682,1.676751618874762,0.0,0.11457838541128851,0.59,8/21,12.15%,NUP214;PFKL;POM121C;NUP50;TPR;NUP153;SLC2A1;PFKFB3
prerank,KEGG_CALCIUM_SIGNALING_PATHWAY,0.6760328186483819,1.6767381577295948,0.01282051282051282,0.10693982638386927,0.59,5/13,10.34%,ITPR3;PLCG1;CAMK4;PPP3CB;SPHK2
prerank,BIOCARTA_NFAT_PATHWAY,0.6681029913670359,1.6663403003904624,0.02702702702702703,0.10817104149026249,0.62,6/11,13.38%,MAPK3;CAMK4;PPP3CB;RAF1;NFATC2;MAPK1
prerank,REACTOME_RHOH_GTPASE_CYCLE,-0.5480487582765032,-1.6653530039330837,0.0,0.25825509019938814,0.65,4/10,11.25%,PAK2;SLC4A7;PAK1;TUBA1B
prerank,WP_ONCOSTATIN_M_SIGNALING,0.6395403602844002,1.651633552346418,0.022727272727272728,0.12291458373068564,0.69,12/15,30.30%,MAPK3;JUNB;RAF1;MAP2K2;MAPK1;STAT1;PXN;RPS6;RICTOR;PRKCB;PRKCD;MAPK14
prerank,REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,0.666395037653167,1.6439452808577355,0.02702702702702703,0.13191590425641767,0.7,6/13,13.38%,MAPK3;ITPR3;PRKCQ;RPS6KA3;RPS6KA1;MAPK1
prerank,REACTOME_GLUCOSE_METABOLISM,0.6237126319658015,1.6420076185952455,0.011363636363636364,0.1277501388588466,0.7,7/17,12.15%,NUP214;PFKL;POM121C;NUP50;TPR;NUP153;PFKFB3
prerank,KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.5575770995698268,1.639502323962964,0.0,0.1245286136180583,0.71,13/31,14.94%,PDPK1;MAPK3;PRKCQ;PLCG1;PPP3CB;RAF1;NFATC2;MAP2K2;GRAP2;MAPK1;VAV1;CBLB;CD3G
prerank,REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,0.6687625154282724,1.6343149650320754,0.0,0.12663926808616097,0.74,8/16,14.29%,PDPK1;MAPK3;CAMK4;RPS6KA3;RPS6KA1;GIT1;MAPK1;PRKAA1
prerank,REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,0.6123360463693129,1.6324352968882958,0.0,0.12424079709968065,0.74,8/20,14.29%,PDPK1;MAPK3;CAMK4;RPS6KA3;RPS6KA1;GIT1;MAPK1;PRKAA1
prerank,SIG_BCR_SIGNALING_PATHWAY,0.702516624163445,1.6317173289728253,0.0,0.11929786124058643,0.74,8/13,13.88%,PDPK1;MAPK3;ITPR3;PPP3CB;RAF1;NFATC2;MAPK1;VAV1
prerank,KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.5647341298412514,1.6308784195808903,0.011363636363636364,0.1152065563839381,0.74,11/28,13.38%,PDPK1;MAPK3;PLCG1;CAMK4;RPS6KA3;MAP3K3;RPS6KA1;RAF1;CRKL;MAP2K2;MAPK1
prerank,WP_ALZHEIMERS_DISEASE,0.5953959842623531,1.6272431196557513,0.010869565217391304,0.1112152546654106,0.75,8/23,13.38%,MAPK3;ITPR3;ARAF;PPP3CB;PSMB6;RAF1;MAP2K2;MAPK1
prerank,WP_ALZHEIMERS_DISEASE_AND_MIRNA_EFFECTS,0.5953959842623531,1.6272431196557513,0.010869565217391304,0.1112152546654106,0.75,8/23,13.38%,MAPK3;ITPR3;ARAF;PPP3CB;PSMB6;RAF1;MAP2K2;MAPK1
prerank,KEGG_MAPK_SIGNALING_PATHWAY,0.5472155873915023,1.6259399033988065,0.011494252873563218,0.10826875697489688,0.75,15/34,16.26%,MAPK3;MKNK1;RPS6KA3;MAP3K3;RPS6KA1;PPP3CB;RAF1;TAOK3;CRKL;STMN1;NFATC2;MAP2K2;MAPK1;MAP4K4;PTPN7
prerank,WP_MECP2_AND_ASSOCIATED_RETT_SYNDROME,-0.5218646798322801,-1.6165811124322735,0.0,0.3027323557337272,0.75,4/11,13.88%,EZH2;NCOR1;MPP1;TAF1
prerank,WP_GLIOBLASTOMA_SIGNALING,0.5924082262450533,1.614193451618264,0.0,0.1198550215815452,0.8,9/23,13.38%,PDPK1;MAPK3;PRKCQ;PLCG1;ARAF;RB1;RAF1;MAP2K2;MAPK1
prerank,WP_KIT_RECEPTOR_SIGNALING,0.5984890537385379,1.60927875461843,0.011764705882352941,0.12336411460117405,0.8,17/22,31.44%,MAPK3;PLCG1;JUNB;RPS6KA3;RPS6KA1;RAF1;CRKL;MAP2K2;MAPK1;VAV1;STAT1;RPS6;PRKCB;EP300;MAPK14;BAD;INPP5D
prerank,KEGG_MEDICUS_REFERENCE_CXCL12_CXCR4_PKC_ERK_SIGNALING_PATHAWAY,0.6899440227565172,1.6009524645207471,0.012195121951219513,0.129805249788315,0.85,6/10,13.38%,MAPK3;PLCG1;ARAF;RAF1;MAP2K2;MAPK1
prerank,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,0.5941339058417313,1.5997250050935785,0.0,0.12766055250621067,0.85,11/21,25.62%,PDPK1;MAPK3;CAMK4;RPS6KA3;RPS6KA1;GIT1;MAPK1;PRKAA1;PRKAR2A;GLS;PRKCB
prerank,REACTOME_L1CAM_INTERACTIONS,0.6689820750621281,1.5977560911881192,0.0,0.1276286373680841,0.85,6/11,13.38%,MAPK3;RPS6KA3;RPS6KA1;ANK3;MAP2K2;MAPK1
prerank,REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS,0.6243389597842086,1.5970519782512536,0.0,0.12504028742850742,0.85,7/16,11.33%,NUP214;POM121C;NUP50;TPR;PSMB6;NUP153;SLC2A1
prerank,REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION,0.6156705456507802,1.5948529070523498,0.0,0.12446653554546704,0.85,6/15,15.44%,MAPK3;JUNB;RPS6KA3;RPS6KA1;MAPK1;CHD4
prerank,REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING,0.5675420222368573,1.5928545594565349,0.02247191011235955,0.12422709155118648,0.85,11/27,13.88%,PDPK1;MAPK3;ITPR3;PRKCQ;PLCG1;PPP3CB;PSMB6;NFATC2;GRAP2;MAPK1;VAV1
prerank,WP_IL11_SIGNALING,0.697050609610523,1.5910017894006683,0.0,0.12282836418542001,0.85,8/11,22.99%,PDPK1;MAPK3;RPS6KA1;RAF1;MAP2K2;MAPK1;STAT1;RPS6
prerank,REACTOME_ISG15_ANTIVIRAL_MECHANISM,0.5952937914374667,1.584453366262461,0.011904761904761904,0.13291418677511488,0.87,7/19,8.78%,MAPK3;NUP214;POM121C;PLCG1;NUP50;TPR;NUP153
