Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION,-0.7344497086229956,-2.111051489995408,0.05263157894736842,0.0398959236773634,0.05,10/12,19.13%,BAZ2A;SAP30BP;SUDS3;POLR1G;ARID4B;POLR1F;SMARCA5;SIRT1;HDAC1;TTF1
prerank,KEGG_LONG_TERM_POTENTIATION,0.7477016588238004,1.8616228953098741,0.0,0.17170633167098037,0.13,14/16,22.25%,ARAF;MAPK3;PPP1R12A;BRAF;ITPR3;CAMK4;RPS6KA1;PPP3CB;RAF1;RPS6KA3;MAPK1;CAMK2D;PRKCB;EP300
prerank,WP_ADIPOGENESIS,-0.5267881642348692,-1.8053935009335027,0.0,0.3191673894189072,0.42,5/14,10.18%,RB1;NCOR1;RBL2;MEF2A;NCOA2
prerank,WP_CHROMOSOMAL_AND_MICROSATELLITE_INSTABILITY_IN_COLORECTAL_CANCER,0.8094858821442343,1.8044459007899922,0.0,0.17170633167098037,0.2,8/11,18.39%,ARAF;MAPK3;BRAF;APC;RAF1;AKT3;MAPK1;BAD
prerank,WP_EFFECT_OF_DASATINIB_ON_THE_BCRABL_SIGNALING_PATHWAY,0.6911447296022112,1.7907577676256505,0.0,0.1466658249689624,0.27,10/17,18.23%,ARAF;MAPK3;BRAF;RPS6KA1;EIF4B;RAF1;AKT3;MAPK1;VAV1;PXN
prerank,KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.6656467286988995,1.7813251956643785,0.0,0.12073101445615807,0.29,11/16,23.32%,ARAF;MAPK3;BRAF;RPS6KA1;ANAPC2;RAF1;RPS6KA3;AKT3;MAPK1;CDC27;CDC25B
prerank,WP_ALZHEIMERS_DISEASE_AND_MIRNA_EFFECTS,0.6558675593195102,1.7616122703543944,0.0,0.10373924205121732,0.34,13/23,20.61%,ARAF;MAPK3;BRAF;ITPR3;APC;PPP3CB;RAF1;PSMB6;AKT3;MAPK1;WIPI2;BAD;ADAM17
prerank,WP_ALZHEIMERS_DISEASE,0.6558675593195102,1.7616122703543944,0.0,0.10373924205121732,0.34,13/23,20.61%,ARAF;MAPK3;BRAF;ITPR3;APC;PPP3CB;RAF1;PSMB6;AKT3;MAPK1;WIPI2;BAD;ADAM17
prerank,KEGG_VEGF_SIGNALING_PATHWAY,0.7054134679231536,1.7539005202278926,0.0,0.10425027280023809,0.37,11/15,21.92%,PLCG1;MAPK3;PPP3CB;RAF1;NFATC3;AKT3;MAPK1;NFATC2;PXN;BAD;PRKCB
prerank,WP_G1_TO_S_CELL_CYCLE_CONTROL,-0.5974190665282804,-1.7460876621139079,0.0,0.29700298737592756,0.49,2/10,0.33%,RB1;MCM4
