gene	score
SPN	5.7565394678904935
PALM2AKAP2	5.245660722610157
SPINDOC	5.245660722610157
LIMD1	5.186607512240769
PHIP	4.940902157384737
MAPK3	4.940902157384737
FAM53B	4.940902157384737
SMARCD2	4.895600731282194
PRKAA1	4.895600731282194
RIF1	4.895600731282194
ZFC3H1	4.895600731282194
AFDN	4.889263073179341
MYSM1	4.889263073179341
CHORDC1	4.889263073179341
SRSF9	4.889263073179341
ASB3	4.741539467890494
BCL11B	4.683932153048718
ATRX	4.672237308244106
GOLGA8O	4.66744948089855
TRAFD1	4.65748282019733
ACIN1	4.5028711660607845
AGAP2	4.5028711660607845
CLIP1	4.5028711660607845
CHEK1	4.5028711660607845
YWHAQ	4.5028711660607845
APC	4.431659450546418
BSG	4.426023412104399
ZC3H3	4.372988389268768
ARAF	4.362577516576788
GAPDH	4.299811972993799
AASDH	4.248711196293508
CIC	4.217293068843323
PLCG1	4.174569463554475
RAF1	4.174569463554475
NAB1	4.053758762624413
KATNA1	4.030721986001856
TMF1	4.026607330162229
STK17B	4.026607330162229
PHACTR4	3.9877507096020994
DBNL	3.987705552255026
ERF	3.948785341827301
TICRR	3.948785341827301
RBM27	3.948785341827301
HERC1	3.9409032320494806
RBBP6	3.932872161720756
CNK3	3.919384327899004
HIRIP3	3.8733614838686568
SMARCAD1	3.8686607226101555
VPS50	3.822839307237279
EIF4G3	3.8069011617247663
ARHGAP30	3.746850021680094
GART	3.7254228288693674
PDE4A	3.6600534077683804
NMT1	3.6405842749273387
TBC1D13	3.638018384932749
PARN	3.623358562963768
INTS1	3.6196075122407687
BCL10	3.5947678209455876
PRDM11	3.592841968657781
IRF2BP2	3.546832332346969
PPP1R3E	3.545741191957488
PPP1R12A	3.5345707356182126
BAZ1A	3.503604074916993
MARK2	3.460136563516954
SEPTIN6	3.418599459218456
PRR12	3.402323324610229
NUP153	3.402323324610229
KRI1	3.3770287248451307
BUD13	3.293992144376681
PFKFB2	3.2788994788714256
STK11IP	3.2517519816658376
DEAF1	3.242550864547606
CHAMP1	3.2172972995720674
GMIP	3.168992420780447
HNRNPA0	3.12723307751536
TLN1	3.1162812064927574
UTP14A	3.108735547919007
GLUD1	3.008509472226512
GIGYF1	2.9808308460091544
MICALL1	2.95410964398843
ATXN2	2.941933227713462
DUSP22	2.918935970167136
THRAP3	2.9179021573847375
BRAF	2.91483245101317
ZBTB21	2.8855879157099316
RFTN1	2.8855879157099316
ENSA	2.8719674614534307
STIM2	2.8576953339726745
PRKCQ	2.8330564336190434
MAP4K4	2.814690718274137
LIMA1	2.806294842542962
CD3G	2.7978693029012605
NFIC	2.78741458366591
RPS6KA1	2.7614194852345686
SETD1A	2.7583131931824694
PCBP2	2.6907194418743807
PIK3C2A	2.6890991825257613
PRKDC	2.674452824533349
CCRL2	2.6737807678822767
ETV3	2.6676142705913204
MKNK1	2.6676142705913204
ARHGAP11A	2.6638432407215187
PUM2	2.6617285848818923
ANKLE2	2.6617285848818923
NUP214	2.6617285848818923
SPEN	2.6617285848818923
NUP98	2.6617285848818923
TPD52	2.6617285848818923
DHCR7	2.6508774744614874
EIF5B	2.6508774744614874
KIF15	2.6508774744614874
RIPOR2	2.6063530601712848
MTMR6	2.6000301930629757
TAGAP	2.6000301930629757
ICE1	2.5834091246357462
AHNAK	2.583166559180935
EVL	2.580906596546964
PRKCB	2.573335348258362
ITPRID2	2.572024486769143
DMTN	2.5629934164404187
SRRM1	2.4966175602665674
GRAP2	2.4882259433740956
CEMIP2	2.4813961768401858
SBF1	2.4813961768401858
BOD1L1	2.475958393604786
STIP1	2.4715055826186663
AKAP13	2.457058720509112
BTF3	2.4284827385883188
ZW10	2.4283625032064053
REPS1	2.426188047095697
PEX16	2.426188047095697
RANBP2	2.4013272952360487
PEA15	2.4000224164444286
MED1	2.365667321490192
SLC19A1	2.364971276399756
SETX	2.3155428394742397
KCNAB2	2.3133112021567386
JUNB	2.3133112021567386
VASP	2.3133112021567386
NFATC2	2.2957655435829882
PIK3R5	2.2951746624880434
BMP2K	2.2645394678904935
EDC3	2.262705529647001
ZNF777	2.240139639652411
EIF4B	2.2254798176834303
BCCIP	2.2196557583375665
IWS1	2.2196557583375665
CEP131	2.2117287669604315
GLS	2.201791927524205
PRRC2A	2.1959692060750418
MIDEAS	2.1959692060750418
ZC3H11A	2.1959692060750418
MAST4	2.1959692060750418
AKAP11	2.1929535870666306
IL16	2.179691990337875
NAA10	2.179691990337875
TASOR	2.171617911373913
HIPK1	2.167535329419635
NOL8	2.158444319226966
SIK3	2.1551214521186566
WIPI2	2.1551214521186566
HDAC3	2.1405773344982486
HMGN1	2.137257818236616
SNTB1	2.1170864292830243
NUP50	2.11590737317465
ESYT2	2.1127207139381183
DCAF15	2.112526514801381
CRTC2	2.1083248382069435
RACGAP1	2.1051157458248246
INF2	2.1028992985652417
CEP170	2.091206425486178
MSANTD2	2.091206425486178
MAP3K7	2.0849611530527286
RPS6KA3	2.0727088193222487
AP3D1	2.07244948089855
CNNM3	2.0591831937075504
GIGYF2	2.0426299934023304
TACC3	2.0420496526604675
RCSD1	2.0420496526604675
TRIP12	2.0221291781897426
PXN	2.0221291781897426
E2F7	2.0221291781897426
SGTB	2.017809236307764
CLN6	2.00975534616332
LRCH3	2.00975534616332
SRRM2	2.00975534616332
NDEL1	2.00975534616332
RB1	1.9972617522289202
MATR3	1.9968732363854997
SORBS3	1.9920783762607113
ZBTB3	1.9916721192672682
ACLY	1.9739892412909608
FASN	1.9715542681445886
YTHDF2	1.9667585805458736
WASHC2A	1.9667585805458736
SIPA1L1	1.9662959077508024
C8ORF33	1.9618755053555554
VAV1	1.9529019599857431
PTPN7	1.94840731498306
ZNF609	1.9453770925806217
TMEM109	1.9408568026386697
DTX3L	1.9408011832854508
DENND4C	1.9407257363027675
SYNRG	1.937630726946175
EPB41L2	1.9350759678203557
OSBPL3	1.9129521007288175
HLA-H	1.9129521007288175
CDC25B	1.9102308987080925
PSIP1	1.9102308987080925
KLHDC4	1.8968200260161128
UBR4	1.8968200260161128
RALGAPA2	1.8968200260161128
GON4L	1.880568734444264
SMARCA4	1.8723653439223433
ZC3H13	1.8723653439223433
USP36	1.8700544824331247
SNRPC	1.8700544824331247
CDV3	1.8670572248867985
NCL	1.8417053701764865
EMD	1.8350234121043998
RELL1	1.822255939038077
LENG1	1.820139373097851
MKRN2	1.8147091704295946
DYNLL1	1.8079883892687674
TRAF1	1.8035355782826472
ARHGEF2	1.8035355782826472
FRMD4B	1.7933285672997865
PCNT	1.7895855710192892
MFAP1	1.7868389470173862
