kinase,n_substrates,mean_lfc,z_perm
MAPK1,87,2.102528735632184,4.246023013968806
FYN,27,2.4903333333333335,3.279105574757729
MTOR,60,-0.35151666666666664,-3.245202488169467
MAP3K8,10,3.6789,3.194018903531199
PRKD2,11,3.504909090909091,3.114938499432834
MAPK3,88,1.824159090909091,3.05974943072719
PKM,7,-1.9517142857142855,-2.602685193209946
PRKACA,118,1.5310593220338984,2.5680617912789803
RPS6KA1,29,2.1162758620689655,2.5495830221594087
CDK12,7,-1.8128571428571427,-2.5166900906805854
FGFR3,6,3.6470000000000002,2.4186931270600605
ALK,5,3.595,2.386124018704169
ITK,7,3.2017142857142855,2.304730417244984
PRKAA2,14,-0.8974285714285715,-2.2674144535522056
CDK9,19,-0.526,-2.1553545569027883
PRKD1,15,2.4078,2.0359304775341327
PRKCZ,8,2.7426250000000003,2.028979492815172
ATM,64,0.17159375,-2.005102372912527
ATR,28,-0.24007142857142855,-1.9804811891027991
RPS6KB1,19,2.147684210526316,1.9183758662154877
AKT2,9,2.620111111111111,1.9109164559786471
PDPK1,16,2.2043125,1.8874563400563862
GSK3B,53,0.15126415094339632,-1.8745997130372725
UHMK1,5,3.179,1.8655612307663079
RET,11,2.563454545454545,1.8609700733221628
SYK,14,2.2313571428571426,1.8146701607896563
SRC,100,1.3237999999999999,1.7842094465510203
MAP2K1,7,2.7807142857142852,1.7351448494697597
YES1,6,-1.2575,-1.7348911020279425
GSK3A,18,-0.24677777777777768,-1.7203177050712495
TBK1,13,1.980846153846154,1.7087313688954486
CSNK1E,6,2.6963333333333335,1.6702197610982656
CAMK2A,14,-0.4060714285714287,-1.6514963921269357
RPS6KA3,11,2.225909090909091,1.5871482651236002
PRKAA1,51,1.4386078431372549,1.559105306365534
NLK,5,2.7825999999999995,1.5387303986932286
CSNK1A1,13,-0.3852307692307694,-1.5269601687933203
STK11,12,-0.46799999999999997,-1.5153622629610375
JAK1,5,-1.1046,-1.4959491721446343
PRKG1,15,1.7956666666666665,1.473660344155165
MAPK9,11,1.973181818181818,1.3490429564276576
DYRK2,7,-0.6084285714285713,-1.3083320720479161
RAF1,7,2.181142857142857,1.2671896015520225
MAP4K1,8,-0.4116249999999999,-1.2542524918577087
MARK3,5,2.4448,1.254126678222293
CAMKK1,5,2.4497999999999998,1.240700249603932
TTK,5,-0.8878,-1.237722905765774
ROCK2,7,-0.44685714285714273,-1.2359729034457307
BRAF,7,2.0244285714285715,1.2008919334134243
PRKCA,70,1.181357142857143,1.1748935682755621
PDGFRB,5,2.113,1.1743307421426803
PRKCE,11,1.806909090909091,1.149516079959464
PRKCB,21,1.5075238095238095,1.1450706129540393
PRKCI,11,1.783909090909091,1.141927667811439
ULK1,9,-0.09533333333333337,-1.1255259684601302
PRKDC,15,0.0027333333333332986,-1.1053996827225263
PTK6,5,2.1898,1.0995535224513693
PRKCD,28,1.4693571428571428,1.0973512990292398
FER,6,-0.33816666666666667,-1.048768562488757
MAP3K7,13,1.4863846153846154,1.0275267912254644
PRKAB1,5,-0.25739999999999963,-1.0245347351813539
MARK2,8,1.7592500000000002,1.0128197356471642
CDK1,235,0.6479659574468085,-0.9880016147553966
PIM1,13,1.4880769230769233,0.9638322203825341
AURKB,77,0.5303246753246753,-0.9569146607145883
PRKAG2,8,-0.3836249999999999,-0.9536945424405338
LCK,20,1.3428,0.922292043517869
EGFR,14,1.5328571428571427,0.9075506349962057
IKBKB,14,1.575357142857143,0.9011683145939487
BRSK1,6,-0.25166666666666665,-0.8920953278533988
AURKA,26,0.3766923076923077,-0.8882908860580014
MAPK7,5,-0.3726,-0.8870956115513692
LATS1,9,1.6255555555555554,0.871185415123875
CDK2,159,0.6358490566037736,-0.8553987366201538
RPS6KB2,5,0.005399999999999988,-0.8500354444382194
PAK2,7,-0.009714285714285755,-0.8061412680694101
CDK7,17,0.3378823529411765,-0.7989207826530573
PLK4,5,1.831,0.7934907246079125
CSNK2A1,78,0.6281282051282051,-0.762758375136761
NEK6,18,1.2922777777777776,0.7597629351935273
AKT3,13,0.3023076923076923,-0.7562879491163321
DYRK1A,8,0.03824999999999995,-0.754242715881414
PTK2,15,0.3152666666666665,-0.7515583067066428
ROCK1,17,0.40994117647058836,-0.7348186922853512
LATS2,7,1.6421428571428571,0.7289501444545118
CHUK,8,1.544,0.6929536484507829
PAK4,6,1.4470000000000003,0.6548015461189056
HIPK2,9,0.19266666666666665,-0.6155269160064044
PLK1,62,1.0386451612903227,0.5741547845673877
ABL1,44,1.1017045454545455,0.562740715128426
MAPK14,32,1.1171875,0.5494023047092019
CHEK1,152,0.7107697368421052,-0.5449006755050808
MAPK11,11,1.3412727272727272,0.5245342931151928
UL97,11,0.37454545454545446,-0.5151270867021117
MELK,10,1.2507000000000001,0.5148474940260568
MAPK8,39,0.5738461538461539,-0.5007603743717886
CSNK1D,13,1.2241538461538461,0.496746899555873
PTK2B,6,0.29833333333333334,-0.4583877727873125
MAPKAPK2,37,1.0633513513513513,0.444649714403858
SRPK2,5,0.19340000000000013,-0.44295027141734317
CDK5,35,0.9834857142857144,0.4333359395188159
MAP3K5,7,1.2514285714285716,0.34643633177247407
AKT1,97,0.7014329896907217,-0.33756691129325167
ULK2,5,1.2066,0.3357286706902785
