contrast_key,contrast_label,kinase,n_substrates,mean_lfc,z_perm,null_mean,null_std
aCD3_5min,αCD3 5min,CDK1,235,0.6479659574468085,-0.9880016147553966,0.8165657659574468,0.17064730056375382
aCD3_5min,αCD3 5min,MAPKAPK2,37,1.0633513513513513,0.444649714403858,0.8774622972972973,0.4180572887655522
aCD3_5min,αCD3 5min,ATM,64,0.17159375,-2.005102372912527,0.851624140625,0.3391499605265624
aCD3_5min,αCD3 5min,CHEK2,19,0.835684210526316,-0.026672616380494892,0.8508052631578948,0.566912987307706
aCD3_5min,αCD3 5min,CSNK2A1,78,0.6281282051282051,-0.762758375136761,0.8548841666666667,0.297284132078923
aCD3_5min,αCD3 5min,ABL1,44,1.1017045454545455,0.562740715128426,0.8506251136363636,0.4461725001733378
aCD3_5min,αCD3 5min,MAPK3,88,1.824159090909091,3.05974943072719,0.8602293181818181,0.31503552645426336
aCD3_5min,αCD3 5min,MAPK1,87,2.102528735632184,4.246023013968806,0.7930352873563219,0.3084046986951829
aCD3_5min,αCD3 5min,LYN,18,1.0545,0.2582854191272257,0.8745458333333334,0.6967259989927082
aCD3_5min,αCD3 5min,SRC,100,1.3237999999999999,1.7842094465510203,0.81437285,0.2855198143832003
aCD3_5min,αCD3 5min,MAP3K8,10,3.6789,3.194018903531199,0.784914,0.9060641428266148
aCD3_5min,αCD3 5min,HCK,5,0.6302000000000001,-0.17710486037555817,0.852936,1.2576504085075872
aCD3_5min,αCD3 5min,TTK,5,-0.8878,-1.237722905765774,0.683982,1.2698981271802068
aCD3_5min,αCD3 5min,LATS2,7,1.6421428571428571,0.7289501444545118,0.8837764285714286,1.0403543155052526
aCD3_5min,αCD3 5min,PAK2,7,-0.009714285714285755,-0.8061412680694101,0.8031685714285715,1.0083627886829218
aCD3_5min,αCD3 5min,FYN,27,2.4903333333333335,3.279105574757729,0.8031679629629629,0.5145199908651993
aCD3_5min,αCD3 5min,PRKAA2,14,-0.8974285714285715,-2.2674144535522056,0.7989960714285715,0.7481758088819928
aCD3_5min,αCD3 5min,PRKAA1,51,1.4386078431372549,1.559105306365534,0.8281180392156864,0.39156418840283164
aCD3_5min,αCD3 5min,AKT1,97,0.7014329896907217,-0.33756691129325167,0.7966772164948454,0.2821491787783163
aCD3_5min,αCD3 5min,SRPK2,5,0.19340000000000013,-0.44295027141734317,0.7560870000000002,1.2703164131709994
