gene_a,gene_b,pearson_r
AAK1,ARHGAP25,-0.7696072697586348
AAK1,ARHGAP30,-0.8591423819630446
AAK1,BCLAF1,0.7962579260704292
AAK1,BTF3,-0.8590628849667713
AAK1,CCDC88B,-0.9027722250884184
AAK1,CDK13,0.774708110662392
AAK1,DDX20,-0.7563133750131966
AAK1,DOCK2,0.7792345917397498
AAK1,EEF2,0.8283288390471498
AAK1,ETS1,-0.8737350381706448
AAK1,KLF2,-0.8894845848413278
AAK1,KNL1,-0.7786690187244625
AAK1,LRRFIP1,0.789937740616361
AAK1,MYCBP2,0.8315655867922306
AAK1,NBEAL2,-0.8892759048192973
AAK1,NCOA7,-0.7903150625733533
AAK1,PHIP,-0.840081301557211
AAK1,POLR1G,0.7559820430153513
AAK1,PRRC2A,-0.7970794952077039
AAK1,SYNE2,0.8082372633276224
AAK1,TBC1D22B,-0.7587423908995772
AATF,BCLAF1,0.8948353688991264
AATF,BTF3,-0.8030729116632641
AATF,DIAPH3,-0.7671972271519412
AATF,DMTN,-0.8202056567769381
AATF,DTL,-0.7935597630377931
AATF,EPRS1,0.7721457325499086
AATF,MAP3K7,-0.7913195620664389
AATF,NCOA3,0.7682835681013805
AATF,NUP153,0.8146224228289582
AATF,RAPGEF1,-0.8003631828683686
AATF,RBM10,0.8570766927257308
AATF,RIPK1,-0.9628419226186119
AATF,SEC16A,-0.9029998258763242
AATF,SFMBT1,-0.8021729087208176
AATF,SLC4A7,-0.81560016129503
AATF,SUB1,0.7704068364010287
AATF,TAGAP,-0.8009613043355844
ABI1,AFDN,0.8804352171081087
ABI1,ARID2,0.7674121896937194
ABI1,BCL11B,-0.7522904808793293
ABI1,CDCA2,0.7733097274316102
ABI1,CWC22,0.8247141216643504
ABI1,DPYSL2,0.7800186879906604
ABI1,EPB41,-0.7925288661750637
ABI1,GTSE1,0.8060033358941859
ABI1,IFI16,-0.8026208816299577
ABI1,KLHDC4,0.8499056385448414
ABI1,MAP4K4,0.7539791072355255
ABI1,MAPK14,0.9247309472423375
ABI1,MAST4,0.7653240909365127
ABI1,NCAPH2,0.7667418737750791
ABI1,NR2C2,0.818543747048335
ABI1,PDE3B,0.7711311587544679
ABI1,PI4KA,-0.79397266348078
ABI1,PPP1R18,-0.753566153798106
ABI1,PRKAA1,0.8018884715562239
ABI1,PRKCD,0.8133261802665647
ABI1,RPS6KA1,-0.8089084484314252
ABI1,SNAPC4,0.8458952217836182
ABI1,SYMPK,0.7904508910820278
ABI1,TAGAP,-0.7662173202812912
ABI3,ARHGAP12,-0.7662820188872738
ABI3,ARHGAP45,-0.771966470547344
ABI3,ARHGEF2,-0.9397217440076646
ABI3,C15orf39,0.8175892155062551
ABI3,CARHSP1,0.8240434010247141
ABI3,CCDC61,0.7731090366386795
ABI3,EEF2,-0.8583504914981567
ABI3,GMIP,-0.7972888010978221
ABI3,KNL1,0.8236224352842185
ABI3,NDRG3,0.7683456166985269
ABI3,NUP214,-0.856393047226107
ABI3,OSBPL8,0.7718381163008796
ABI3,PFKFB3,0.9301093481721114
ABI3,PHACTR4,0.802097725058514
ABI3,PLEKHA2,0.9084869798882031
ABI3,RANBP2,-0.7936701190481688
ABI3,SEPTIN6,0.7701129062025599
ABI3,STK10,0.84805577331645
ABI3,ZC3H13,-0.8540556285734944
ABLIM1,BOD1L1,-0.8936373336044318
ABLIM1,CDCA5,-0.7978039231727329
ABLIM1,DDX17,-0.7871859812539884
ABLIM1,DOCK8,-0.7588710783108281
ABLIM1,EML3,-0.7580532537916392
ABLIM1,EP300,-0.7821973132419137
ABLIM1,FAM193A,-0.7665349701220703
ABLIM1,GCSAM,0.8643103816997298
ABLIM1,GPR35,0.8384119829958626
ABLIM1,HLA-H,0.7621436714689415
ABLIM1,KAT6A,-0.8363907566073153
ABLIM1,KDM3B,-0.8972429048942343
ABLIM1,KRI1,0.7713350006263734
ABLIM1,LARP4,0.8033531452643107
ABLIM1,MAP3K1,0.8887188100817158
ABLIM1,MAST2,-0.7552277582484163
ABLIM1,NCOA2,-0.7616908769826959
ABLIM1,PAG1,-0.8790165621728777
ABLIM1,PLCL2,-0.7526182432858785
ABLIM1,REPS1,-0.8640151644380761
ABLIM1,RPS6KB1,-0.7612429786917247
ABLIM1,SEC61B,0.7917972215171851
ABLIM1,TOPBP1,-0.798763325733228
ABLIM1,WDR44,-0.8462183681962021
ABLIM1,WDR62,-0.7696107530456308
ACIN1,BUD13,0.8588782509539895
ACIN1,C15orf39,-0.7894785272447736
ACIN1,CCDC61,-0.8457933216637544
ACIN1,CIT,0.8863969447126325
ACIN1,CLASP2,-0.8774855499892592
ACIN1,CRYBG1,-0.7747026189290466
ACIN1,DDX20,-0.8041672022071785
ACIN1,DOCK8,-0.8603140251357833
ACIN1,DYNC1LI1,-0.757741532962811
ACIN1,E2F8,-0.7608963107528953
ACIN1,GIT1,0.7552738605903193
ACIN1,INPP5D,-0.8487437905151304
ACIN1,LCP2,0.823188922127931
ACIN1,NDRG1,0.9217953547517918
ACIN1,NOL8,-0.7614959790773054
ACIN1,PDCD4,-0.868287826253236
ACIN1,PHKB,-0.7669211673230288
ACIN1,PPP1R10,-0.8009808582134976
ACIN1,RAPGEF6,-0.9440401121925025
ACIN1,RBM14,-0.9467840606051817
ACIN1,RERE,-0.8490764900216781
ACIN1,USP1,-0.7621966698194992
ACIN1,YBX3,0.9627024502177696
ACIN1,ZBTB21,-0.8622718615047528
ACIN1,ZEB1,-0.9491814347087595
ADAR,AKAP11,0.7947528564872164
ADAR,ATAD2,-0.7727008716000741
ADAR,ATP2B1,-0.8168067201591488
ADAR,EPB41L2,0.9128949020686014
ADAR,HIVEP2,-0.853583880320383
ADAR,MAPK3,0.7626350736593741
ADAR,NIPBL,-0.7583882524074036
ADAR,PDE3B,0.8110221294580003
ADAR,PLEC,0.7545682717533548
ADAR,PPP1R18,-0.7606990988825054
ADAR,PTPN7,0.7899243537490466
